canonical_trait_axis_id,cluster_id,plant_taxon,trait_coordinate,trait_domain,function_pair_family,shared_coordinate_status,antagonist_role_status,antagonist_guild,antagonist_guild_family,pollinator_guild,interaction_timing,canonical_geometry,source_geometry_classes,context_shift_status,cancellation_status,trait_manipulated_any,consumer_context_manipulated_any,common_fitness_endpoint_any,source_count,source_ids,source_trait_axis_ids,source_verification_states,model_h1_status
Cucurbita_000031_fragrance,Cucurbita_pepo_fragrance,Cucurbita pepo var. texana,enhanced floral fragrance,CHEMICAL_SIGNAL,MUTUALIST_ANTAGONIST,SAME_COORDINATE,NET_ANTAGONISTIC,florivorous beetles,FLORIVORE,bee pollinators,SIMULTANEOUS_OR_OVERLAPPING,ONE_SIDED_OR_NULL,ONE_SIDED_OR_NULL,UNRESOLVED,UNRESOLVED,YES,YES,YES,1,SCHPRISMA-000031,Cucurbita_000031_fragrance,SOURCE_VERIFIED_PRIMARY,STATIC_RESOLVED_FIXED_ROLE
Cypripedium_000261_stem_height,Cypripedium_candidum_reproduction_program,Cypripedium candidum,flowering stem height,MORPHOLOGY,MUTUALIST_ANTAGONIST,SAME_COORDINATE,NET_ANTAGONISTIC,weevil seed predators,SEED_PREDATOR,insect pollinators,SIMULTANEOUS_OR_OVERLAPPING,ALIGNMENT_REINFORCEMENT,ALIGNMENT_REINFORCEMENT,UNRESOLVED,UNRESOLVED,NO,YES,YES,1,SCHPRISMA-000261,Cypripedium_000261_stem_height,SOURCE_VERIFIED_PRIMARY,STATIC_RESOLVED_FIXED_ROLE
Dalechampia_000658_bract,Dalechampia_scandens_bract_program,Dalechampia scandens,upper bract area,MORPHOLOGY,MUTUALIST_ANTAGONIST,SAME_COORDINATE,NET_ANTAGONISTIC,seed predators,SEED_PREDATOR,bee pollinators,SIMULTANEOUS_OR_OVERLAPPING,CONFLICT,CONFLICT,UNRESOLVED,UNRESOLVED,NO,NO,YES,1,SCHPRISMA-000658,Dalechampia_000658_bract,SOURCE_VERIFIED_PRIMARY,STATIC_RESOLVED_FIXED_ROLE
Disa_000048_yellow_apices,Disa_similis_anther_mimic_program,Disa similis,yellow anther-mimic petal apices,CHEMICAL_OR_VISUAL_SIGNAL,MUTUALIST_EXPLOITER_COUPLED,SAME_COORDINATE,BENEFIT_COST_COUPLED,pollen-feeding beetle Isoplia lasiosoma,OTHER_OR_UNRESOLVED,pollen-feeding beetle Isoplia lasiosoma,SAME_VISIT_COUPLED,ROLE_BOUNDARY,ROLE_BOUNDARY,UNRESOLVED,UNRESOLVED,YES,NO,YES,1,SCHPRISMA-000048,Disa_000048_yellow_apices,SOURCE_VERIFIED_PRIMARY,ROLE_BOUNDARY_EXCLUDED_FROM_FIXED_H1
Erysimum_000008_corolla_diameter,Erysimum_mediohispanicum_selection_mosaic,Erysimum mediohispanicum,corolla diameter,MORPHOLOGY,MUTUALIST_ANTAGONIST,SAME_COORDINATE,NET_ANTAGONISTIC,vertebrate grazer,HERBIVORE_GRAZER,mixed pollinator functional groups,SIMULTANEOUS_OR_OVERLAPPING,UNRESOLVED,UNRESOLVED,YES,UNRESOLVED,NO,NO,YES,1,SCHPRISMA-000008,Erysimum_000008_corolla_diameter,SOURCE_VERIFIED_PRIMARY,UNRESOLVED_FIXED_ROLE
Erysimum_000008_corolla_shape,Erysimum_mediohispanicum_selection_mosaic,Erysimum mediohispanicum,corolla shape,MORPHOLOGY,MUTUALIST_ANTAGONIST,SAME_COORDINATE,NET_ANTAGONISTIC,vertebrate grazer,HERBIVORE_GRAZER,mixed pollinator functional groups,SIMULTANEOUS_OR_OVERLAPPING,UNRESOLVED,UNRESOLVED,YES,UNRESOLVED,NO,NO,YES,1,SCHPRISMA-000008,Erysimum_000008_corolla_shape,SOURCE_VERIFIED_PRIMARY,UNRESOLVED_FIXED_ROLE
Erysimum_000008_corolla_tube_length,Erysimum_mediohispanicum_selection_mosaic,Erysimum mediohispanicum,corolla tube length,MORPHOLOGY,MUTUALIST_ANTAGONIST,SAME_COORDINATE,NET_ANTAGONISTIC,vertebrate grazer,HERBIVORE_GRAZER,mixed pollinator functional groups,SIMULTANEOUS_OR_OVERLAPPING,UNRESOLVED,UNRESOLVED,YES,UNRESOLVED,NO,NO,YES,1,SCHPRISMA-000008,Erysimum_000008_corolla_tube_length,SOURCE_VERIFIED_PRIMARY,UNRESOLVED_FIXED_ROLE
Erysimum_000008_corolla_tube_width,Erysimum_mediohispanicum_selection_mosaic,Erysimum mediohispanicum,corolla tube width,MORPHOLOGY,MUTUALIST_ANTAGONIST,SAME_COORDINATE,NET_ANTAGONISTIC,vertebrate grazer,HERBIVORE_GRAZER,mixed pollinator functional groups,SIMULTANEOUS_OR_OVERLAPPING,UNRESOLVED,UNRESOLVED,YES,UNRESOLVED,NO,NO,YES,1,SCHPRISMA-000008,Erysimum_000008_corolla_tube_width,SOURCE_VERIFIED_PRIMARY,UNRESOLVED_FIXED_ROLE
Erysimum_000008_flower_number,Erysimum_mediohispanicum_selection_mosaic,Erysimum mediohispanicum,flower number,MORPHOLOGY,MUTUALIST_ANTAGONIST,SAME_COORDINATE,NET_ANTAGONISTIC,vertebrate grazer,HERBIVORE_GRAZER,mixed pollinator functional groups,SIMULTANEOUS_OR_OVERLAPPING,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,NO,NO,YES,1,SCHPRISMA-000008,Erysimum_000008_flower_number,SOURCE_VERIFIED_PRIMARY,UNRESOLVED_FIXED_ROLE
Erysimum_000008_stalk_height,Erysimum_mediohispanicum_selection_mosaic,Erysimum mediohispanicum,stalk height,MORPHOLOGY,MUTUALIST_ANTAGONIST,SAME_COORDINATE,NET_ANTAGONISTIC,vertebrate grazer,HERBIVORE_GRAZER,mixed pollinator functional groups,SIMULTANEOUS_OR_OVERLAPPING,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,NO,NO,YES,1,SCHPRISMA-000008,Erysimum_000008_stalk_height,SOURCE_VERIFIED_PRIMARY,UNRESOLVED_FIXED_ROLE
Gentiana_lutea_color_axis,Gentiana_lutea_color_program,Gentiana lutea,flower color yellow-to-orange,CHEMICAL_SIGNAL,MUTUALIST_ANTAGONIST,SAME_COORDINATE,NET_ANTAGONISTIC,predisperal seed predators,SEED_PREDATOR,bumblebee assemblage | bumblebees,SIMULTANEOUS_OR_OVERLAPPING,CONTEXT_VARIABLE,ALIGNMENT_REINFORCEMENT;ONE_SIDED_OR_NULL,YES,UNRESOLVED,NO,NO,YES,2,SCHPRISMA-000054;SCHPRISMA-000710,Gentiana_000054_color;Gentiana_000710_color,SOURCE_VERIFIED_PRIMARY,CONTEXT_VARIABLE_FIXED_ROLE
Gymnadenia_000030_floral_display,Gymnadenia_conopsea_agent_selection,Gymnadenia conopsea,floral display,MORPHOLOGY,MUTUALIST_ANTAGONIST,SAME_COORDINATE,NET_ANTAGONISTIC,herbivores,HERBIVORE_GRAZER,insect pollinators,SIMULTANEOUS_OR_OVERLAPPING,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,NO,YES,YES,1,SCHPRISMA-000030,Gymnadenia_000030_floral_display,SOURCE_VERIFIED_PRIMARY,UNRESOLVED_FIXED_ROLE
Gymnadenia_000030_phenology,Gymnadenia_conopsea_agent_selection,Gymnadenia conopsea,flowering phenology,PHENOLOGY,MUTUALIST_ANTAGONIST,SAME_COORDINATE,NET_ANTAGONISTIC,herbivores,HERBIVORE_GRAZER,insect pollinators,SIMULTANEOUS_OR_OVERLAPPING,CONFLICT,CONFLICT,YES,YES,NO,YES,YES,1,SCHPRISMA-000030,Gymnadenia_000030_phenology,SOURCE_VERIFIED_PRIMARY,STATIC_RESOLVED_FIXED_ROLE
Gymnadenia_000030_spur_length,Gymnadenia_conopsea_agent_selection,Gymnadenia conopsea,spur length,MORPHOLOGY,MUTUALIST_ANTAGONIST,SAME_COORDINATE,NET_ANTAGONISTIC,herbivores,HERBIVORE_GRAZER,insect pollinators,SIMULTANEOUS_OR_OVERLAPPING,ALIGNMENT_REINFORCEMENT,ALIGNMENT_REINFORCEMENT,YES,UNRESOLVED,NO,YES,YES,1,SCHPRISMA-000030,Gymnadenia_000030_spur_length,SOURCE_VERIFIED_PRIMARY,STATIC_RESOLVED_FIXED_ROLE
Incarvillea_000259_flower_height,Incarvillea_sinensis_robbing_program,Incarvillea sinensis var. sinensis,flower height,MORPHOLOGY,MUTUALIST_EXPLOITER_ROLE_SWITCH,SAME_COORDINATE,ROLE_DEPENDENT,Bombus patagiatus,OTHER_OR_UNRESOLVED,Bombus patagiatus,SAME_CONSUMER_ROLE_SWITCH,ROLE_BOUNDARY,ROLE_BOUNDARY,UNRESOLVED,UNRESOLVED,NO,YES,YES,1,SCHPRISMA-000259,Incarvillea_000259_flower_height,SOURCE_VERIFIED_PRIMARY,ROLE_BOUNDARY_EXCLUDED_FROM_FIXED_H1
Lithophragma_000151_corolla_opening,Lithophragma_bolanderi_Greya_program,Lithophragma bolanderi,corolla-opening diameter,MORPHOLOGY,MUTUALIST_BROOD_PARASITE_COUPLED,SAME_COORDINATE,BENEFIT_COST_COUPLED,Greya politella brood-pollinating seed parasite,BROOD_EXPLOITER,Greya politella and Greya obscura,LIFE_CYCLE_COUPLED,ROLE_BOUNDARY,ROLE_BOUNDARY,YES,UNRESOLVED,NO,YES,YES,1,SCHPRISMA-000151,Lithophragma_000151_corolla_opening,SOURCE_VERIFIED_PRIMARY,ROLE_BOUNDARY_EXCLUDED_FROM_FIXED_H1
Lithophragma_000151_floral_width,Lithophragma_bolanderi_Greya_program,Lithophragma bolanderi,floral width,MORPHOLOGY,MUTUALIST_BROOD_PARASITE_COUPLED,SAME_COORDINATE,BENEFIT_COST_COUPLED,Greya politella brood-pollinating seed parasite,BROOD_EXPLOITER,Greya politella and Greya obscura,LIFE_CYCLE_COUPLED,ROLE_BOUNDARY,ROLE_BOUNDARY,YES,UNRESOLVED,NO,YES,YES,1,SCHPRISMA-000151,Lithophragma_000151_floral_width,SOURCE_VERIFIED_PRIMARY,ROLE_BOUNDARY_EXCLUDED_FROM_FIXED_H1
Lithophragma_000151_petal_length,Lithophragma_bolanderi_Greya_program,Lithophragma bolanderi,petal length,MORPHOLOGY,MUTUALIST_BROOD_PARASITE_COUPLED,SAME_COORDINATE,BENEFIT_COST_COUPLED,Greya politella brood-pollinating seed parasite,BROOD_EXPLOITER,Greya politella and Greya obscura,LIFE_CYCLE_COUPLED,ROLE_BOUNDARY,ROLE_BOUNDARY,YES,UNRESOLVED,NO,YES,YES,1,SCHPRISMA-000151,Lithophragma_000151_petal_length,SOURCE_VERIFIED_PRIMARY,ROLE_BOUNDARY_EXCLUDED_FROM_FIXED_H1
Lithophragma_000151_pistil_height,Lithophragma_bolanderi_Greya_program,Lithophragma bolanderi,pistil height,MORPHOLOGY,MUTUALIST_BROOD_PARASITE_COUPLED,SAME_COORDINATE,BENEFIT_COST_COUPLED,Greya politella brood-pollinating seed parasite,BROOD_EXPLOITER,Greya politella and Greya obscura,LIFE_CYCLE_COUPLED,ROLE_BOUNDARY,ROLE_BOUNDARY,YES,UNRESOLVED,NO,YES,YES,1,SCHPRISMA-000151,Lithophragma_000151_pistil_height,SOURCE_VERIFIED_PRIMARY,ROLE_BOUNDARY_EXCLUDED_FROM_FIXED_H1
Pedicularis_000376_corolla_exsertion,Pedicularis_rex_geographic_selection_program,Pedicularis rex,corolla exsertion beyond cupular bracts,MORPHOLOGY,MUTUALIST_ANTAGONIST,SAME_COORDINATE,NET_ANTAGONISTIC,fly and moth seed predators,SEED_PREDATOR,bumblebees,SIMULTANEOUS_OR_OVERLAPPING,CONFLICT,CONFLICT,YES,UNRESOLVED,NO,NO,YES,1,SCHPRISMA-000376,Pedicularis_000376_corolla_exsertion,SOURCE_VERIFIED_PRIMARY,STATIC_RESOLVED_FIXED_ROLE
Pedicularis_000376_lower_lip_width,Pedicularis_rex_geographic_selection_program,Pedicularis rex,lower corolla lip width,MORPHOLOGY,MUTUALIST_ANTAGONIST,SAME_COORDINATE,NET_ANTAGONISTIC,fly and moth seed predators,SEED_PREDATOR,bumblebees,SIMULTANEOUS_OR_OVERLAPPING,CONFLICT,CONFLICT,UNRESOLVED,UNRESOLVED,NO,NO,YES,1,SCHPRISMA-000376,Pedicularis_000376_lower_lip_width,SOURCE_VERIFIED_PRIMARY,STATIC_RESOLVED_FIXED_ROLE
Polygala_000334_flower_size,Polygala_vayredae_robbing_program,Polygala vayredae,flower size,MORPHOLOGY,MUTUALIST_ANTAGONIST,SAME_COORDINATE,NET_ANTAGONISTIC,nectar robbers,NECTAR_ROBBER,legitimate insect pollinators,SIMULTANEOUS_OR_OVERLAPPING,UNRESOLVED,UNRESOLVED,YES,UNRESOLVED,NO,NO,YES,1,SCHPRISMA-000334,Polygala_000334_flower_size,SOURCE_VERIFIED_PRIMARY,UNRESOLVED_FIXED_ROLE
Polygala_000334_nectar_reward,Polygala_vayredae_robbing_program,Polygala vayredae,nectar reward / nectar gland dimensions,REWARD,MUTUALIST_ANTAGONIST,SAME_COORDINATE,NET_ANTAGONISTIC,nectar robbers,NECTAR_ROBBER,legitimate insect pollinators,SIMULTANEOUS_OR_OVERLAPPING,UNRESOLVED,UNRESOLVED,YES,UNRESOLVED,NO,NO,YES,1,SCHPRISMA-000334,Polygala_000334_nectar_reward,SOURCE_VERIFIED_PRIMARY,UNRESOLVED_FIXED_ROLE
Primula_farinosa_000167_corolla_tube_width,Primula_farinosa_scape_program,Primula farinosa,corolla tube width,MORPHOLOGY,MUTUALIST_ANTAGONIST,SAME_COORDINATE,NET_ANTAGONISTIC,seed predators and grazers,SEED_PREDATOR,insect pollinators,SIMULTANEOUS_OR_OVERLAPPING,UNRESOLVED,UNRESOLVED,YES,UNRESOLVED,NO,NO,YES,1,SCHPRISMA-000167,Primula_farinosa_000167_corolla_tube_width,SOURCE_VERIFIED_PRIMARY,UNRESOLVED_FIXED_ROLE
Primula_farinosa_000167_flower_number,Primula_farinosa_scape_program,Primula farinosa,flower number,MORPHOLOGY,MUTUALIST_ANTAGONIST,SAME_COORDINATE,NET_ANTAGONISTIC,seed predators and grazers,SEED_PREDATOR,insect pollinators,SIMULTANEOUS_OR_OVERLAPPING,UNRESOLVED,UNRESOLVED,YES,UNRESOLVED,NO,NO,YES,1,SCHPRISMA-000167,Primula_farinosa_000167_flower_number,SOURCE_VERIFIED_PRIMARY,UNRESOLVED_FIXED_ROLE
Primula_farinosa_000167_petal_size,Primula_farinosa_scape_program,Primula farinosa,petal size,MORPHOLOGY,MUTUALIST_ANTAGONIST,SAME_COORDINATE,NET_ANTAGONISTIC,seed predators and grazers,SEED_PREDATOR,insect pollinators,SIMULTANEOUS_OR_OVERLAPPING,UNRESOLVED,UNRESOLVED,YES,UNRESOLVED,NO,NO,YES,1,SCHPRISMA-000167,Primula_farinosa_000167_petal_size,SOURCE_VERIFIED_PRIMARY,UNRESOLVED_FIXED_ROLE
Primula_farinosa_000523_scape,Primula_farinosa_scape_program,Primula farinosa,scape-height morph,DISPLAY_STATE,MUTUALIST_ANTAGONIST,SAME_COORDINATE,NET_ANTAGONISTIC,vertebrate grazers,HERBIVORE_GRAZER,insect pollinators,SIMULTANEOUS_OR_OVERLAPPING,CONFLICT,CONFLICT,YES,UNRESOLVED,NO,YES,YES,1,SCHPRISMA-000523,Primula_farinosa_000523_scape,SOURCE_VERIFIED_PRIMARY,STATIC_RESOLVED_FIXED_ROLE
Primula_secundiflora_000066_morph,Primula_secundiflora_pollination_program,Primula secundiflora,distylous floral morph and sexual-organ position,MORPHOLOGY,MUTUALIST_ANTAGONIST,SAME_COORDINATE,ROLE_DEPENDENT,nectar-robbing bumblebees,NECTAR_ROBBER,bumblebees and syrphid flies,SIMULTANEOUS_OR_OVERLAPPING,ROLE_BOUNDARY,ROLE_BOUNDARY,YES,UNRESOLVED,NO,NO,YES,1,SCHPRISMA-000066,Primula_secundiflora_000066_morph,SOURCE_VERIFIED_PRIMARY,ROLE_BOUNDARY_EXCLUDED_FROM_FIXED_H1
Protea_000209_flower_color,Protea_aurea_color_program,Protea aurea,floral pigmentation / white-vs-pink color,CHEMICAL_OR_VISUAL_SIGNAL,MUTUALIST_ANTAGONIST,SAME_COORDINATE,NET_ANTAGONISTIC,seed predators,SEED_PREDATOR,avian pollinators,SIMULTANEOUS_OR_OVERLAPPING,ONE_SIDED_OR_NULL,ONE_SIDED_OR_NULL,UNRESOLVED,UNRESOLVED,NO,NO,YES,1,SCHPRISMA-000209,Protea_000209_flower_color,SOURCE_VERIFIED_PRIMARY,STATIC_RESOLVED_FIXED_ROLE
Protea_000209_flower_number,Protea_aurea_color_program,Protea aurea,flowers per inflorescence,DISPLAY_STATE,MUTUALIST_ANTAGONIST,SAME_COORDINATE,NET_ANTAGONISTIC,seed predators,SEED_PREDATOR,avian pollinators,SIMULTANEOUS_OR_OVERLAPPING,ONE_SIDED_OR_NULL,ONE_SIDED_OR_NULL,UNRESOLVED,UNRESOLVED,NO,NO,YES,1,SCHPRISMA-000209,Protea_000209_flower_number,SOURCE_VERIFIED_PRIMARY,STATIC_RESOLVED_FIXED_ROLE
Sesame_000336_corolla_tube,Sesamum_indicum_visitor_role_program,Sesamum indicum,corolla tube length,MORPHOLOGY,MUTUALIST_EXPLOITER_ROLE_SWITCH,SAME_COORDINATE,ROLE_DEPENDENT,multiple bee nectar robbers,NECTAR_ROBBER,multiple bee pollinators,SIMULTANEOUS_OR_OVERLAPPING,ROLE_BOUNDARY,ROLE_BOUNDARY,YES,UNRESOLVED,NO,YES,YES,1,SCHPRISMA-000336,Sesame_000336_corolla_tube,SOURCE_VERIFIED_PRIMARY,ROLE_BOUNDARY_EXCLUDED_FROM_FIXED_H1
Sesame_000336_nectar_availability,Sesamum_indicum_visitor_role_program,Sesamum indicum,nectar availability,REWARD,MUTUALIST_EXPLOITER_ROLE_SWITCH,SAME_COORDINATE,ROLE_DEPENDENT,multiple bee nectar robbers,NECTAR_ROBBER,multiple bee pollinators,SIMULTANEOUS_OR_OVERLAPPING,ROLE_BOUNDARY,ROLE_BOUNDARY,YES,UNRESOLVED,YES,YES,YES,1,SCHPRISMA-000336,Sesame_000336_nectar_availability,SOURCE_VERIFIED_PRIMARY,ROLE_BOUNDARY_EXCLUDED_FROM_FIXED_H1
Tanacetum_000352_individual_chemotype,Tanacetum_vulgare_chemodiversity_program,Tanacetum vulgare,individual floral chemotype / terpenoid profile,CHEMICAL_SIGNAL,MUTUALIST_ANTAGONIST,SAME_COORDINATE,NET_ANTAGONISTIC,florivores,FLORIVORE,multiple pollinator groups,SIMULTANEOUS_OR_OVERLAPPING,ONE_SIDED_OR_NULL,ONE_SIDED_OR_NULL,YES,UNRESOLVED,NO,YES,YES,1,SCHPRISMA-000352,Tanacetum_000352_individual_chemotype,SOURCE_VERIFIED_PRIMARY,STATIC_RESOLVED_FIXED_ROLE
Tanacetum_000352_plot_chemodiversity,Tanacetum_vulgare_chemodiversity_program,Tanacetum vulgare,plot-level floral chemodiversity,CHEMICAL_SIGNAL,MUTUALIST_ANTAGONIST,SAME_COORDINATE,NET_ANTAGONISTIC,florivores,FLORIVORE,multiple pollinator groups,SIMULTANEOUS_OR_OVERLAPPING,ONE_SIDED_OR_NULL,ONE_SIDED_OR_NULL,YES,UNRESOLVED,YES,YES,YES,1,SCHPRISMA-000352,Tanacetum_000352_plot_chemodiversity,SOURCE_VERIFIED_PRIMARY,STATIC_RESOLVED_FIXED_ROLE
Trifolium_000391_flower_size,Trifolium_repens_selection_program,Trifolium repens,flower size,MORPHOLOGY,MUTUALIST_ANTAGONIST,SAME_COORDINATE,NET_ANTAGONISTIC,herbivores,HERBIVORE_GRAZER,insect pollinators,SIMULTANEOUS_OR_OVERLAPPING,ONE_SIDED_OR_NULL,ONE_SIDED_OR_NULL,YES,UNRESOLVED,NO,YES,YES,1,SCHPRISMA-000391,Trifolium_000391_flower_size,SOURCE_VERIFIED_PRIMARY,STATIC_RESOLVED_FIXED_ROLE
Trifolium_000391_flowering_time,Trifolium_repens_selection_program,Trifolium repens,flowering time,PHENOLOGY,MUTUALIST_ANTAGONIST,SAME_COORDINATE,NET_ANTAGONISTIC,herbivores,HERBIVORE_GRAZER,insect pollinators,SIMULTANEOUS_OR_OVERLAPPING,UNRESOLVED,UNRESOLVED,YES,UNRESOLVED,NO,YES,YES,1,SCHPRISMA-000391,Trifolium_000391_flowering_time,SOURCE_VERIFIED_PRIMARY,UNRESOLVED_FIXED_ROLE
Trifolium_000391_inflorescence_production,Trifolium_repens_selection_program,Trifolium repens,inflorescence production,DISPLAY_STATE,MUTUALIST_ANTAGONIST,SAME_COORDINATE,NET_ANTAGONISTIC,herbivores,HERBIVORE_GRAZER,insect pollinators,SIMULTANEOUS_OR_OVERLAPPING,ONE_SIDED_OR_NULL,ONE_SIDED_OR_NULL,YES,UNRESOLVED,NO,YES,YES,1,SCHPRISMA-000391,Trifolium_000391_inflorescence_production,SOURCE_VERIFIED_PRIMARY,STATIC_RESOLVED_FIXED_ROLE
Ursinia_000323_spot_morph,Ursinia_calenduliflora_spot_program,Ursinia calenduliflora,spotted versus spotless floral morph,CHEMICAL_OR_VISUAL_SIGNAL,MUTUALIST_ANTAGONIST,SAME_COORDINATE,NET_ANTAGONISTIC,florivorous insects,FLORIVORE,Megapalpus capensis,SIMULTANEOUS_OR_OVERLAPPING,CONFLICT,CONFLICT,UNRESOLVED,UNRESOLVED,NO,NO,YES,1,SCHPRISMA-000323,Ursinia_000323_spot_morph,SOURCE_VERIFIED_PRIMARY,STATIC_RESOLVED_FIXED_ROLE
