canonical_trait_axis_id,cluster_id,plant_taxon,trait_coordinate,trait_domain,canonical_geometry,antagonist_role_status,antagonist_guild_family,source_count,source_ids,h2_lane,h2_priority,context_case_materialization,context_case_unit,notes
Caryopteris_000330_corolla_tube,Caryopteris_divaricata_robbing_program,Caryopteris divaricata,corolla tube length,MORPHOLOGY,ROLE_BOUNDARY,ROLE_DEPENDENT,NECTAR_ROBBER,1,SCHPRISMA-000330,H2D_CONSUMER_ROLE_CONTEXT,P1,PENDING,population_or_site/year_or_season/treatment_or_consumer_regime,
Caryopteris_000330_nectar_volume,Caryopteris_divaricata_robbing_program,Caryopteris divaricata,nectar volume,REWARD,ROLE_BOUNDARY,ROLE_DEPENDENT,NECTAR_ROBBER,1,SCHPRISMA-000330,H2D_CONSUMER_ROLE_CONTEXT,P1,PENDING,population_or_site/year_or_season/treatment_or_consumer_regime,
Caryopteris_000330_sugar_concentration,Caryopteris_divaricata_robbing_program,Caryopteris divaricata,nectar sugar concentration,REWARD,ROLE_BOUNDARY,ROLE_DEPENDENT,NECTAR_ROBBER,1,SCHPRISMA-000330,H2D_CONSUMER_ROLE_CONTEXT,P1,PENDING,population_or_site/year_or_season/treatment_or_consumer_regime,
Lithophragma_000151_corolla_opening,Lithophragma_bolanderi_Greya_program,Lithophragma bolanderi,corolla-opening diameter,MORPHOLOGY,ROLE_BOUNDARY,BENEFIT_COST_COUPLED,BROOD_EXPLOITER,1,SCHPRISMA-000151,H2D_CONSUMER_ROLE_CONTEXT,P1,PENDING,population_or_site/year_or_season/treatment_or_consumer_regime,
Lithophragma_000151_floral_width,Lithophragma_bolanderi_Greya_program,Lithophragma bolanderi,floral width,MORPHOLOGY,ROLE_BOUNDARY,BENEFIT_COST_COUPLED,BROOD_EXPLOITER,1,SCHPRISMA-000151,H2D_CONSUMER_ROLE_CONTEXT,P1,PENDING,population_or_site/year_or_season/treatment_or_consumer_regime,
Lithophragma_000151_petal_length,Lithophragma_bolanderi_Greya_program,Lithophragma bolanderi,petal length,MORPHOLOGY,ROLE_BOUNDARY,BENEFIT_COST_COUPLED,BROOD_EXPLOITER,1,SCHPRISMA-000151,H2D_CONSUMER_ROLE_CONTEXT,P1,PENDING,population_or_site/year_or_season/treatment_or_consumer_regime,
Lithophragma_000151_pistil_height,Lithophragma_bolanderi_Greya_program,Lithophragma bolanderi,pistil height,MORPHOLOGY,ROLE_BOUNDARY,BENEFIT_COST_COUPLED,BROOD_EXPLOITER,1,SCHPRISMA-000151,H2D_CONSUMER_ROLE_CONTEXT,P1,PENDING,population_or_site/year_or_season/treatment_or_consumer_regime,
Primula_secundiflora_000066_morph,Primula_secundiflora_pollination_program,Primula secundiflora,distylous floral morph and sexual-organ position,MORPHOLOGY,ROLE_BOUNDARY,ROLE_DEPENDENT,NECTAR_ROBBER,1,SCHPRISMA-000066,H2D_CONSUMER_ROLE_CONTEXT,P1,PENDING,population_or_site/year_or_season/treatment_or_consumer_regime,
Sesame_000336_corolla_tube,Sesamum_indicum_visitor_role_program,Sesamum indicum,corolla tube length,MORPHOLOGY,ROLE_BOUNDARY,ROLE_DEPENDENT,NECTAR_ROBBER,1,SCHPRISMA-000336,H2D_CONSUMER_ROLE_CONTEXT,P1,PENDING,population_or_site/year_or_season/treatment_or_consumer_regime,
Sesame_000336_nectar_availability,Sesamum_indicum_visitor_role_program,Sesamum indicum,nectar availability,REWARD,ROLE_BOUNDARY,ROLE_DEPENDENT,NECTAR_ROBBER,1,SCHPRISMA-000336,H2D_CONSUMER_ROLE_CONTEXT,P1,PENDING,population_or_site/year_or_season/treatment_or_consumer_regime,
Gymnadenia_000030_phenology,Gymnadenia_conopsea_agent_selection,Gymnadenia conopsea,flowering phenology,PHENOLOGY,CONFLICT,NET_ANTAGONISTIC,HERBIVORE_GRAZER,1,SCHPRISMA-000030,H2B_RESOLVED_GEOMETRY_CONTEXT_DEPENDENCE,P2,PENDING,population_or_site/year_or_season/treatment_or_consumer_regime,
Gymnadenia_000030_spur_length,Gymnadenia_conopsea_agent_selection,Gymnadenia conopsea,spur length,MORPHOLOGY,ALIGNMENT_REINFORCEMENT,NET_ANTAGONISTIC,HERBIVORE_GRAZER,1,SCHPRISMA-000030,H2B_RESOLVED_GEOMETRY_CONTEXT_DEPENDENCE,P2,PENDING,population_or_site/year_or_season/treatment_or_consumer_regime,
Pedicularis_000376_corolla_exsertion,Pedicularis_rex_geographic_selection_program,Pedicularis rex,corolla exsertion beyond cupular bracts,MORPHOLOGY,CONFLICT,NET_ANTAGONISTIC,SEED_PREDATOR,1,SCHPRISMA-000376,H2B_RESOLVED_GEOMETRY_CONTEXT_DEPENDENCE,P2,PENDING,population_or_site/year_or_season/treatment_or_consumer_regime,
Primula_farinosa_000523_scape,Primula_farinosa_scape_program,Primula farinosa,scape-height morph,DISPLAY_STATE,CONFLICT,NET_ANTAGONISTIC,HERBIVORE_GRAZER,1,SCHPRISMA-000523,H2B_RESOLVED_GEOMETRY_CONTEXT_DEPENDENCE,P2,PENDING,population_or_site/year_or_season/treatment_or_consumer_regime,
Tanacetum_000352_individual_chemotype,Tanacetum_vulgare_chemodiversity_program,Tanacetum vulgare,individual floral chemotype / terpenoid profile,CHEMICAL_SIGNAL,ONE_SIDED_OR_NULL,NET_ANTAGONISTIC,FLORIVORE,1,SCHPRISMA-000352,H2B_RESOLVED_GEOMETRY_CONTEXT_DEPENDENCE,P2,PENDING,population_or_site/year_or_season/treatment_or_consumer_regime,
Tanacetum_000352_plot_chemodiversity,Tanacetum_vulgare_chemodiversity_program,Tanacetum vulgare,plot-level floral chemodiversity,CHEMICAL_SIGNAL,ONE_SIDED_OR_NULL,NET_ANTAGONISTIC,FLORIVORE,1,SCHPRISMA-000352,H2B_RESOLVED_GEOMETRY_CONTEXT_DEPENDENCE,P2,PENDING,population_or_site/year_or_season/treatment_or_consumer_regime,
Trifolium_000391_flower_size,Trifolium_repens_selection_program,Trifolium repens,flower size,MORPHOLOGY,ONE_SIDED_OR_NULL,NET_ANTAGONISTIC,HERBIVORE_GRAZER,1,SCHPRISMA-000391,H2B_RESOLVED_GEOMETRY_CONTEXT_DEPENDENCE,P2,PENDING,population_or_site/year_or_season/treatment_or_consumer_regime,
Trifolium_000391_inflorescence_production,Trifolium_repens_selection_program,Trifolium repens,inflorescence production,DISPLAY_STATE,ONE_SIDED_OR_NULL,NET_ANTAGONISTIC,HERBIVORE_GRAZER,1,SCHPRISMA-000391,H2B_RESOLVED_GEOMETRY_CONTEXT_DEPENDENCE,P2,PENDING,population_or_site/year_or_season/treatment_or_consumer_regime,
