record_id,doi,title,year,venue,query_ids,recovery_tier,explicit_selection_signal,final_performance_signal,repeated_context_signal,focal_trait_signal,pollinator_signal,antagonist_signal,estimand_recovery_target,current_title_abstract_decision,decision_note,fulltext_recovery_status,outcome_blind_priority,review_order
SCHPRISMA-000324,,"Floral resource availability and its use by hummingbirds in an area of cerrado of Uberlândia, MG",2011,LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas),Q13,FT3_OTHER_RETAINED,NO,NO,NO,YES,YES,NO,GENERAL_FULLTEXT_ADJUDICATION,RETAIN_FULLTEXT,Hummingbird floral-resource dissertation contains nectar-thief context; retain conservatively for visitor-role and reward-coordinate adjudication.,PENDING,YES,11
SCHPRISMA-000325,,FLORAL SCENT IN A WHOLE-PLANT CONTEXT Floral volatiles controlling ant behaviour,2009,,Q01;Q03;Q05,FT3_OTHER_RETAINED,NO,NO,NO,YES,YES,NO,GENERAL_FULLTEXT_ADJUDICATION,RETAIN_FULLTEXT,Floral-scent/ant-behaviour record is directly relevant to a pollinator-relevant scent coordinate; retain and resolve overlap with the primary 2009 article at full text.,PENDING,YES,12
SCHPRISMA-000327,10.1201/9780429455612-10,Floral Scent Metabolic Pathways and Their Regulation,2020,,Q02,FT3_OTHER_RETAINED,NO,NO,NO,YES,YES,YES,GENERAL_FULLTEXT_ADJUDICATION,RETAIN_FULLTEXT,Floral-scent metabolic-pathway chapter includes pollinator/florivore functions; retain as potentially relevant synthesis/source-chasing material.,PENDING,YES,13
SCHPRISMA-000337,10.1093/hr/uhae220,"Floral volatile benzenoids/phenylpropanoids: biosynthetic pathway, regulation and ecological value",2024,Horticulture Research,Q01;Q05,FT3_OTHER_RETAINED,NO,NO,NO,YES,YES,YES,GENERAL_FULLTEXT_ADJUDICATION,RETAIN_FULLTEXT,Benzenoid/phenylpropanoid review explicitly treats ecological value to pollinators and herbivores; retain for synthesis/source-chasing role adjudication.,PENDING,YES,14
SCHPRISMA-000338,10.1111/j.1365-2435.2009.01632.x,Floral volatiles controlling ant behaviour,2009,Functional Ecology,Q01;Q02;Q03;Q04;Q05;Q09;Q10;Q12;Q13,FT3_OTHER_RETAINED,NO,NO,NO,YES,YES,YES,GENERAL_FULLTEXT_ADJUDICATION,RETAIN_FULLTEXT,Primary floral-volatiles/ant-behaviour article includes pollinator and antagonist context on the same scent class; high-value full-text candidate.,PENDING,YES,15
SCHPRISMA-000341,10.1111/pce.12314,Floral volatiles: from biosynthesis to function,2014,Plant Cell & Environment,Q01;Q02;Q03;Q05;Q09;Q11;Q12,FT3_OTHER_RETAINED,NO,NO,NO,YES,YES,YES,GENERAL_FULLTEXT_ADJUDICATION,RETAIN_FULLTEXT,Floral-volatiles function review covers pollinators and florivores; retain as relevant synthesis/source registry material.,PENDING,YES,16
SCHPRISMA-000356,10.3120/0024-9637-70.4.197,"FLOWERING, FRUIT SET, AND SEED PREDATION IN ARCTOSTAPHYLOS MORROENSIS, A RARE OBLIGATE-SEEDING SHRUB",2024,Madroño,Q12;Q13,FT3_OTHER_RETAINED,NO,YES,NO,NO,YES,YES,GENERAL_FULLTEXT_ADJUDICATION,RETAIN_FULLTEXT,"Arctostaphylos study explicitly combines flowering, fruit set, pollination context and seed predation; retain for reproductive and antagonist-channel coding.",PENDING,YES,17
SCHPRISMA-000358,10.1046/j.1365-2311.2002.00438.x,Flowers at the front line of invasion?,2002,Ecological Entomology,Q12,FT3_OTHER_RETAINED,NO,NO,NO,YES,YES,YES,GENERAL_FULLTEXT_ADJUDICATION,RETAIN_FULLTEXT,"Invasion study contains floral traits, pollination, herbivory and seed-predation signals; retain for full-text interaction and evolutionary-context adjudication.",PENDING,YES,18
SCHPRISMA-000361,10.1007/s11101-019-09642-y,For antagonists and mutualists: the paradox of insect toxic secondary metabolites in nectar and pollen,2019,Phytochemistry Reviews,Q01;Q04;Q07;Q10;Q13,FT3_OTHER_RETAINED,NO,NO,NO,YES,NO,YES,GENERAL_FULLTEXT_ADJUDICATION,RETAIN_FULLTEXT,Review explicitly frames nectar/pollen secondary metabolites for antagonists and mutualists; retain for synthesis/source-chasing and chemical-coordinate coding.,PENDING,YES,19
SCHPRISMA-000363,10.20944/preprints202511.1707.v1,Four Petal-Specific TPS Drive Nocturnal Terpene Scent in Jasminum sambac,2025,Preprints.org,Q01;Q05;Q10,FT3_OTHER_RETAINED,NO,NO,NO,YES,YES,YES,GENERAL_FULLTEXT_ADJUDICATION,RETAIN_FULLTEXT,Preprint on petal-specific terpene scent includes pollinator/antagonist ecological context; retain until duplicate/report role with the published version is resolved.,PENDING,YES,20
SCHPRISMA-000364,10.3390/horticulturae12010010,Four Petal-Specific TPS Drive Nocturnal Terpene Scent in Jasminum sambac,2025,Horticulturae,Q01;Q05;Q10,FT3_OTHER_RETAINED,NO,NO,NO,YES,YES,YES,GENERAL_FULLTEXT_ADJUDICATION,RETAIN_FULLTEXT,Published Jasminum terpene-scent study contains pollinator and antagonist ecological context; retain to establish whether consumer responses are measured or only discussed.,PENDING,YES,21
SCHPRISMA-000367,10.1111/nph.12720,Frontiers in chemical ecology and coevolution,2014,New Phytologist,Q05,FT3_OTHER_RETAINED,NO,NO,NO,YES,YES,YES,GENERAL_FULLTEXT_ADJUDICATION,RETAIN_FULLTEXT,"Chemical-ecology/co-evolution synthesis includes floral, pollinator and herbivore interactions; retain as relevant synthesis/source-chasing material.",PENDING,YES,22
SCHPRISMA-000369,10.3389/fpls.2022.1077229,Functional characterization of a terpene synthase responsible for (E)-β-ocimene biosynthesis identified in Pyrus betuleafolia transcriptome after herbivory,2022,Frontiers in Plant Science,Q01,FT3_OTHER_RETAINED,NO,NO,NO,YES,YES,YES,GENERAL_FULLTEXT_ADJUDICATION,RETAIN_FULLTEXT,Pyrus beta-ocimene synthase is induced after herbivory and the abstract contains floral/pollinator context; retain to determine whether the floral signal channel is directly measured.,PENDING,YES,23
SCHPRISMA-000371,10.1007/s10531-025-03225-4,Functional redundancy in invertebrate pollinator-predator networks supports conservation of a threatened North American orchid: a case study of Platanthera integrilabia,2026,Biodiversity and Conservation,Q09;Q10,FT3_OTHER_RETAINED,NO,NO,NO,YES,YES,YES,GENERAL_FULLTEXT_ADJUDICATION,RETAIN_FULLTEXT,Threatened-orchid pollinator-predator network study contains pollination and herbivory signals; retain to resolve whether predators/herbivores are plant antagonists acting through floral traits.,PENDING,YES,24
SCHPRISMA-000375,10.1371/journal.pone.0059299,"Generalization versus Specialization in Pollination Systems: Visitors, Thieves, and Pollinators of Hypoestes aristata (Acanthaceae)",2013,PLoS ONE,Q13,FT3_OTHER_RETAINED,NO,NO,NO,YES,YES,NO,GENERAL_FULLTEXT_ADJUDICATION,RETAIN_FULLTEXT,"Hypoestes study explicitly distinguishes visitors, nectar thieves and pollinators; retain for visitor-role and reward-coordinate adjudication.",PENDING,YES,25
SCHPRISMA-000377,10.4236/ajps.2014.518283,"Geographic Flower Trait Variation of Aquilegia buergeriana Sieb. et Zucc. var. buergeriana on Mt. Norikura and the Utsukushigahara Highland, Japan",2014,American Journal of Plant Sciences,Q09;Q12,FT3_OTHER_RETAINED,NO,NO,YES,YES,YES,NO,GENERAL_FULLTEXT_ADJUDICATION,RETAIN_FULLTEXT,Aquilegia study examines geographic flower-trait variation with flower visitors and non-pollinator context; retain for geographic receiver-regime adjudication.,PENDING,YES,26
SCHPRISMA-000385,10.1111/j.1744-7429.2007.00345.x,Habitat Structure Affects Reproductive Success of the Rare Endemic Tree Syzygium mamillatum (Myrtaceae) in Restored and Unrestored Sites in Mauritius,2007,Biotropica,Q08;Q09,FT3_OTHER_RETAINED,NO,YES,YES,NO,YES,YES,GENERAL_FULLTEXT_ADJUDICATION,RETAIN_FULLTEXT,"Habitat-structure study links reproduction, pollination and herbivory across restored/unrestored sites; retain for geographic and fitness adjudication.",PENDING,YES,27
SCHPRISMA-000396,10.1101/2021.04.19.440496,Herbivory enhances leaky sex expression in the dioecious herb Mercurialis annua,2021,bioRxiv (Cold Spring Harbor Laboratory),Q01;Q06;Q08;Q10,FT3_OTHER_RETAINED,NO,NO,NO,NO,YES,YES,GENERAL_FULLTEXT_ADJUDICATION,RETAIN_FULLTEXT,Herbivory changes sex expression in a flowering plant and the abstract contains pollinator context; retain for induced-state/evolutionary adjudication.,PENDING,YES,28
SCHPRISMA-000399,10.1890/11-1691.1,Herbivory reduces plant interactions with above‐ and belowground antagonists and mutualists,2012,Ecology,Q01;Q05;Q08;Q09;Q10,FT3_OTHER_RETAINED,NO,NO,NO,YES,YES,YES,GENERAL_FULLTEXT_ADJUDICATION,RETAIN_FULLTEXT,"Primary study explicitly connects herbivory with above-/belowground antagonists and mutualists, including pollination; retain to resolve the floral coordinate.",PENDING,YES,29
