canonical_trait_axis_id,cluster_id,plant_taxon,trait_coordinate,trait_domain,function_pair_family,antagonist_role_status,pollinator_guild,antagonist_guild,n_source_records,source_ids,source_axis_ids,source_geometry_classes,canonical_geometry,context_shift_detected,cancellation_detected,trait_manipulated,consumer_context_manipulated,common_fitness_endpoint,h1_static_eligible,h2_context_priority,source_coding_statuses
Cucurbita_000031_fragrance,Cucurbita_pepo_fragrance,Cucurbita pepo var. texana,enhanced floral fragrance,CHEMICAL_SIGNAL,MUTUALIST_ANTAGONIST,NET_ANTAGONISTIC,bee pollinators,florivorous beetles,1,SCHPRISMA-000031,Cucurbita_000031_fragrance,ONE_SIDED_OR_NULL,ONE_SIDED_OR_NULL,UNRESOLVED,UNRESOLVED,YES,YES,YES,YES,NO,OUTCOME_CODED
Cypripedium_000261_stem_height,Cypripedium_candidum_reproduction_program,Cypripedium candidum,flowering stem height,MORPHOLOGY,MUTUALIST_ANTAGONIST,NET_ANTAGONISTIC,insect pollinators,weevil seed predators,1,SCHPRISMA-000261,Cypripedium_000261_stem_height,ALIGNMENT_REINFORCEMENT,ALIGNMENT_REINFORCEMENT,UNRESOLVED,UNRESOLVED,NO,YES,YES,YES,NO,OUTCOME_CODED
Dalechampia_000658_bract,Dalechampia_scandens_bract_program,Dalechampia scandens,upper bract area,MORPHOLOGY,MUTUALIST_ANTAGONIST,NET_ANTAGONISTIC,bee pollinators,seed predators,1,SCHPRISMA-000658,Dalechampia_000658_bract,CONFLICT,CONFLICT,UNRESOLVED,UNRESOLVED,NO,NO,YES,YES,NO,OUTCOME_CODED
Disa_000048_yellow_apices,Disa_similis_anther_mimic_program,Disa similis,yellow anther-mimic petal apices,VISUAL_SIGNAL,MUTUALIST_EXPLOITER_COUPLED,BENEFIT_COST_COUPLED,pollen-feeding beetle Isoplia lasiosoma,pollen-feeding beetle Isoplia lasiosoma,1,SCHPRISMA-000048,Disa_000048_yellow_apices,ROLE_BOUNDARY,ROLE_BOUNDARY,UNRESOLVED,UNRESOLVED,YES,NO,YES,NO,NO,OUTCOME_CODED_BOUNDARY
Erysimum_000008_corolla_diameter,Erysimum_mediohispanicum_selection_mosaic,Erysimum mediohispanicum,corolla diameter,MORPHOLOGY,MUTUALIST_ANTAGONIST,NET_ANTAGONISTIC,mixed pollinator functional groups,vertebrate grazer,1,SCHPRISMA-000008,Erysimum_000008_corolla_diameter,UNRESOLVED,UNRESOLVED,YES,UNRESOLVED,NO,NO,YES,NO,YES,AXIS_FROZEN_OUTCOME_PARTIAL
Erysimum_000008_corolla_shape,Erysimum_mediohispanicum_selection_mosaic,Erysimum mediohispanicum,corolla shape,MORPHOLOGY,MUTUALIST_ANTAGONIST,NET_ANTAGONISTIC,mixed pollinator functional groups,vertebrate grazer,1,SCHPRISMA-000008,Erysimum_000008_corolla_shape,UNRESOLVED,UNRESOLVED,YES,UNRESOLVED,NO,NO,YES,NO,YES,AXIS_FROZEN_OUTCOME_PARTIAL
Erysimum_000008_corolla_tube_length,Erysimum_mediohispanicum_selection_mosaic,Erysimum mediohispanicum,corolla tube length,MORPHOLOGY,MUTUALIST_ANTAGONIST,NET_ANTAGONISTIC,mixed pollinator functional groups,vertebrate grazer,1,SCHPRISMA-000008,Erysimum_000008_corolla_tube_length,UNRESOLVED,UNRESOLVED,YES,UNRESOLVED,NO,NO,YES,NO,YES,AXIS_FROZEN_OUTCOME_PARTIAL
Erysimum_000008_corolla_tube_width,Erysimum_mediohispanicum_selection_mosaic,Erysimum mediohispanicum,corolla tube width,MORPHOLOGY,MUTUALIST_ANTAGONIST,NET_ANTAGONISTIC,mixed pollinator functional groups,vertebrate grazer,1,SCHPRISMA-000008,Erysimum_000008_corolla_tube_width,UNRESOLVED,UNRESOLVED,YES,UNRESOLVED,NO,NO,YES,NO,YES,AXIS_FROZEN_OUTCOME_PARTIAL
Erysimum_000008_flower_number,Erysimum_mediohispanicum_selection_mosaic,Erysimum mediohispanicum,flower number,MORPHOLOGY,MUTUALIST_ANTAGONIST,NET_ANTAGONISTIC,mixed pollinator functional groups,vertebrate grazer,1,SCHPRISMA-000008,Erysimum_000008_flower_number,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,NO,NO,YES,NO,NO,AXIS_FROZEN_OUTCOME_PARTIAL
Erysimum_000008_stalk_height,Erysimum_mediohispanicum_selection_mosaic,Erysimum mediohispanicum,stalk height,MORPHOLOGY,MUTUALIST_ANTAGONIST,NET_ANTAGONISTIC,mixed pollinator functional groups,vertebrate grazer,1,SCHPRISMA-000008,Erysimum_000008_stalk_height,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,NO,NO,YES,NO,NO,AXIS_FROZEN_OUTCOME_PARTIAL
Gentiana_lutea_color_axis,Gentiana_lutea_color_program,Gentiana lutea,flower color yellow-to-orange,CHEMICAL_SIGNAL,MUTUALIST_ANTAGONIST,NET_ANTAGONISTIC,bumblebee assemblage;bumblebees,predisperal seed predators,2,SCHPRISMA-000054;SCHPRISMA-000710,Gentiana_000054_color;Gentiana_000710_color,ALIGNMENT_REINFORCEMENT;ONE_SIDED_OR_NULL,CONTEXT_VARIABLE,YES,UNRESOLVED,NO,NO,YES,NO,YES,OUTCOME_CODED
Gymnadenia_000030_floral_display,Gymnadenia_conopsea_agent_selection,Gymnadenia conopsea,floral display,MORPHOLOGY,MUTUALIST_ANTAGONIST,NET_ANTAGONISTIC,insect pollinators,herbivores,1,SCHPRISMA-000030,Gymnadenia_000030_floral_display,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,NO,YES,YES,NO,NO,AXIS_FROZEN_OUTCOME_PENDING
Gymnadenia_000030_phenology,Gymnadenia_conopsea_agent_selection,Gymnadenia conopsea,flowering phenology,PHENOLOGY,MUTUALIST_ANTAGONIST,NET_ANTAGONISTIC,insect pollinators,herbivores,1,SCHPRISMA-000030,Gymnadenia_000030_phenology,CONFLICT,CONFLICT,YES,YES,NO,YES,YES,YES,YES,OUTCOME_CODED
Gymnadenia_000030_spur_length,Gymnadenia_conopsea_agent_selection,Gymnadenia conopsea,spur length,MORPHOLOGY,MUTUALIST_ANTAGONIST,NET_ANTAGONISTIC,insect pollinators,herbivores,1,SCHPRISMA-000030,Gymnadenia_000030_spur_length,ALIGNMENT_REINFORCEMENT,ALIGNMENT_REINFORCEMENT,YES,UNRESOLVED,NO,YES,YES,YES,YES,OUTCOME_CODED
Incarvillea_000259_flower_height,Incarvillea_sinensis_robbing_program,Incarvillea sinensis var. sinensis,flower height,MORPHOLOGY,MUTUALIST_EXPLOITER_ROLE_SWITCH,ROLE_DEPENDENT,Bombus patagiatus,Bombus patagiatus,1,SCHPRISMA-000259,Incarvillea_000259_flower_height,ROLE_BOUNDARY,ROLE_BOUNDARY,UNRESOLVED,UNRESOLVED,NO,YES,YES,NO,NO,OUTCOME_CODED_BOUNDARY
Lithophragma_000151_corolla_opening,Lithophragma_bolanderi_Greya_program,Lithophragma bolanderi,corolla-opening diameter,MORPHOLOGY,MUTUALIST_BROOD_PARASITE_COUPLED,BENEFIT_COST_COUPLED,Greya politella and Greya obscura,Greya politella brood-pollinating seed parasite,1,SCHPRISMA-000151,Lithophragma_000151_corolla_opening,ROLE_BOUNDARY,ROLE_BOUNDARY,YES,UNRESOLVED,NO,YES,YES,NO,YES,OUTCOME_CODED_BOUNDARY
Lithophragma_000151_floral_width,Lithophragma_bolanderi_Greya_program,Lithophragma bolanderi,floral width,MORPHOLOGY,MUTUALIST_BROOD_PARASITE_COUPLED,BENEFIT_COST_COUPLED,Greya politella and Greya obscura,Greya politella brood-pollinating seed parasite,1,SCHPRISMA-000151,Lithophragma_000151_floral_width,ROLE_BOUNDARY,ROLE_BOUNDARY,YES,UNRESOLVED,NO,YES,YES,NO,YES,OUTCOME_CODED_BOUNDARY
Lithophragma_000151_petal_length,Lithophragma_bolanderi_Greya_program,Lithophragma bolanderi,petal length,MORPHOLOGY,MUTUALIST_BROOD_PARASITE_COUPLED,BENEFIT_COST_COUPLED,Greya politella and Greya obscura,Greya politella brood-pollinating seed parasite,1,SCHPRISMA-000151,Lithophragma_000151_petal_length,ROLE_BOUNDARY,ROLE_BOUNDARY,YES,UNRESOLVED,NO,YES,YES,NO,YES,OUTCOME_CODED_BOUNDARY
Lithophragma_000151_pistil_height,Lithophragma_bolanderi_Greya_program,Lithophragma bolanderi,pistil height,MORPHOLOGY,MUTUALIST_BROOD_PARASITE_COUPLED,BENEFIT_COST_COUPLED,Greya politella and Greya obscura,Greya politella brood-pollinating seed parasite,1,SCHPRISMA-000151,Lithophragma_000151_pistil_height,ROLE_BOUNDARY,ROLE_BOUNDARY,YES,UNRESOLVED,NO,YES,YES,NO,YES,OUTCOME_CODED_BOUNDARY
Pedicularis_000376_corolla_exsertion,Pedicularis_rex_geographic_selection_program,Pedicularis rex,corolla exsertion beyond cupular bracts,MORPHOLOGY,MUTUALIST_ANTAGONIST,NET_ANTAGONISTIC,bumblebees,fly and moth seed predators,1,SCHPRISMA-000376,Pedicularis_000376_corolla_exsertion,CONFLICT,CONFLICT,YES,UNRESOLVED,NO,NO,YES,YES,YES,OUTCOME_CODED
Pedicularis_000376_lower_lip_width,Pedicularis_rex_geographic_selection_program,Pedicularis rex,lower corolla lip width,MORPHOLOGY,MUTUALIST_ANTAGONIST,NET_ANTAGONISTIC,bumblebees,fly and moth seed predators,1,SCHPRISMA-000376,Pedicularis_000376_lower_lip_width,CONFLICT,CONFLICT,UNRESOLVED,UNRESOLVED,NO,NO,YES,YES,NO,OUTCOME_CODED
Polygala_000334_flower_size,Polygala_vayredae_robbing_program,Polygala vayredae,flower size,MORPHOLOGY,MUTUALIST_ANTAGONIST,NET_ANTAGONISTIC,legitimate insect pollinators,nectar robbers,1,SCHPRISMA-000334,Polygala_000334_flower_size,UNRESOLVED,UNRESOLVED,YES,UNRESOLVED,NO,NO,YES,NO,YES,AXIS_FROZEN_OUTCOME_PARTIAL
Polygala_000334_nectar_reward,Polygala_vayredae_robbing_program,Polygala vayredae,nectar reward / nectar gland dimensions,REWARD,MUTUALIST_ANTAGONIST,NET_ANTAGONISTIC,legitimate insect pollinators,nectar robbers,1,SCHPRISMA-000334,Polygala_000334_nectar_reward,UNRESOLVED,UNRESOLVED,YES,UNRESOLVED,NO,NO,YES,NO,YES,AXIS_FROZEN_OUTCOME_PARTIAL
Primula_farinosa_000167_corolla_tube_width,Primula_farinosa_scape_program,Primula farinosa,corolla tube width,MORPHOLOGY,MUTUALIST_ANTAGONIST,NET_ANTAGONISTIC,insect pollinators,seed predators and grazers,1,SCHPRISMA-000167,Primula_farinosa_000167_corolla_tube_width,UNRESOLVED,UNRESOLVED,YES,UNRESOLVED,NO,NO,YES,NO,YES,AXIS_FROZEN_OUTCOME_PARTIAL
Primula_farinosa_000167_flower_number,Primula_farinosa_scape_program,Primula farinosa,flower number,MORPHOLOGY,MUTUALIST_ANTAGONIST,NET_ANTAGONISTIC,insect pollinators,seed predators and grazers,1,SCHPRISMA-000167,Primula_farinosa_000167_flower_number,UNRESOLVED,UNRESOLVED,YES,UNRESOLVED,NO,NO,YES,NO,YES,AXIS_FROZEN_OUTCOME_PARTIAL
Primula_farinosa_000167_petal_size,Primula_farinosa_scape_program,Primula farinosa,petal size,MORPHOLOGY,MUTUALIST_ANTAGONIST,NET_ANTAGONISTIC,insect pollinators,seed predators and grazers,1,SCHPRISMA-000167,Primula_farinosa_000167_petal_size,UNRESOLVED,UNRESOLVED,YES,UNRESOLVED,NO,NO,YES,NO,YES,AXIS_FROZEN_OUTCOME_PARTIAL
Primula_farinosa_000523_scape,Primula_farinosa_scape_program,Primula farinosa,scape-height morph,DISPLAY_STATE,MUTUALIST_ANTAGONIST,NET_ANTAGONISTIC,insect pollinators,vertebrate grazers,1,SCHPRISMA-000523,Primula_farinosa_000523_scape,CONFLICT,CONFLICT,YES,UNRESOLVED,NO,YES,YES,YES,YES,OUTCOME_CODED
Primula_secundiflora_000066_morph,Primula_secundiflora_pollination_program,Primula secundiflora,distylous floral morph and sexual-organ position,MORPHOLOGY,MUTUALIST_ANTAGONIST,ROLE_DEPENDENT,bumblebees and syrphid flies,nectar-robbing bumblebees,1,SCHPRISMA-000066,Primula_secundiflora_000066_morph,ROLE_BOUNDARY,ROLE_BOUNDARY,YES,UNRESOLVED,NO,NO,YES,NO,YES,OUTCOME_CODED_BOUNDARY
Protea_000209_pigmentation,Protea_aurea_color_program,Protea aurea,floral pigmentation / white-pink morph,VISUAL_SIGNAL,MUTUALIST_ANTAGONIST,NET_ANTAGONISTIC,bird pollinators,seed predators,1,SCHPRISMA-000209,Protea_000209_pigmentation,ONE_SIDED_OR_NULL,ONE_SIDED_OR_NULL,UNRESOLVED,UNRESOLVED,NO,NO,YES,YES,NO,OUTCOME_CODED
Sesame_000336_corolla_tube,Sesamum_indicum_visitor_role_program,Sesamum indicum,corolla tube length,MORPHOLOGY,MUTUALIST_EXPLOITER_ROLE_SWITCH,ROLE_DEPENDENT,multiple bee pollinators,multiple bee nectar robbers,1,SCHPRISMA-000336,Sesame_000336_corolla_tube,ROLE_BOUNDARY,ROLE_BOUNDARY,YES,UNRESOLVED,NO,YES,YES,NO,YES,OUTCOME_CODED_BOUNDARY
Sesame_000336_nectar_availability,Sesamum_indicum_visitor_role_program,Sesamum indicum,nectar availability,REWARD,MUTUALIST_EXPLOITER_ROLE_SWITCH,ROLE_DEPENDENT,multiple bee pollinators,multiple bee nectar robbers,1,SCHPRISMA-000336,Sesame_000336_nectar_availability,ROLE_BOUNDARY,ROLE_BOUNDARY,YES,UNRESOLVED,YES,YES,YES,NO,YES,AXIS_FROZEN_OUTCOME_PARTIAL
Tanacetum_000352_individual_chemotype,Tanacetum_vulgare_chemodiversity_program,Tanacetum vulgare,individual floral chemotype,CHEMICAL_SIGNAL,MUTUALIST_ANTAGONIST,NET_ANTAGONISTIC,multiple insect pollinators,florivores,1,SCHPRISMA-000352,Tanacetum_000352_individual_chemotype,ONE_SIDED_OR_NULL,ONE_SIDED_OR_NULL,YES,UNRESOLVED,NO,YES,YES,YES,YES,OUTCOME_CODED
Tanacetum_000352_plot_chemodiversity,Tanacetum_vulgare_chemodiversity_program,Tanacetum vulgare,plot-level chemotype diversity,CHEMICAL_SIGNAL,MUTUALIST_ANTAGONIST,NET_ANTAGONISTIC,multiple insect pollinators,florivores,1,SCHPRISMA-000352,Tanacetum_000352_plot_chemodiversity,ONE_SIDED_OR_NULL,ONE_SIDED_OR_NULL,UNRESOLVED,UNRESOLVED,YES,YES,YES,YES,NO,OUTCOME_CODED
Trifolium_000391_flower_size,Trifolium_repens_selection_program,Trifolium repens,flower size,MORPHOLOGY,MUTUALIST_ANTAGONIST,NET_ANTAGONISTIC,insect pollinators,herbivores,1,SCHPRISMA-000391,Trifolium_000391_flower_size,ONE_SIDED_OR_NULL,ONE_SIDED_OR_NULL,YES,UNRESOLVED,NO,YES,YES,YES,YES,OUTCOME_CODED
Trifolium_000391_flowering_time,Trifolium_repens_selection_program,Trifolium repens,flowering time,PHENOLOGY,MUTUALIST_ANTAGONIST,NET_ANTAGONISTIC,insect pollinators,herbivores,1,SCHPRISMA-000391,Trifolium_000391_flowering_time,UNRESOLVED,UNRESOLVED,YES,UNRESOLVED,NO,YES,YES,NO,YES,AXIS_FROZEN_OUTCOME_PARTIAL
Trifolium_000391_inflorescence_production,Trifolium_repens_selection_program,Trifolium repens,inflorescence production,DISPLAY_STATE,MUTUALIST_ANTAGONIST,NET_ANTAGONISTIC,insect pollinators,herbivores,1,SCHPRISMA-000391,Trifolium_000391_inflorescence_production,ONE_SIDED_OR_NULL,ONE_SIDED_OR_NULL,YES,UNRESOLVED,NO,YES,YES,YES,YES,OUTCOME_CODED
Ursinia_000323_spot_morph,Ursinia_calenduliflora_spot_program,Ursinia calenduliflora,spotted versus spotless floral morph,VISUAL_SIGNAL,MUTUALIST_ANTAGONIST,NET_ANTAGONISTIC,Megapalpus capensis,florivorous insects,1,SCHPRISMA-000323,Ursinia_000323_spot_morph,CONFLICT,CONFLICT,UNRESOLVED,UNRESOLVED,NO,NO,YES,YES,NO,OUTCOME_CODED
