review_order,record_id,doi,title,year,openalex_id,query_ids,openalex_work_type,machine_priority,live_concept_filter_drift,missing_live_concepts,title_floral_matches,title_pollinator_matches,title_antagonist_matches,abstract_floral_matches,abstract_pollinator_matches,abstract_antagonist_matches,human_title_abstract_decision,human_title_abstract_reason,human_note
11,SCHPRISMA-000255,,"Effects of insect herbivory on plant architecture, flowering phenology, flower visitors’ activity and reproduction success in Cirsium Altissimum L.",2013,https://openalex.org/W2600015960,Q08;Q10;Q12,dissertation,HIGH_TITLE_TRIPLE,NO,,flower,flower visitors,herbivory,,,,,,
12,SCHPRISMA-000201,10.1016/j.scitotenv.2024.177802,Diesel exhaust and ozone adversely affect pollinators and parasitoids within flying insect communities,2024,https://openalex.org/W4405327845,Q01,article,HIGH_TITLE_PAIR,NO,,,pollinators,parasitoids,floral;flowers,pollination;pollinator;pollinators,herbivore;herbivores;oviposition;parasitoid;parasitoids,,,
13,SCHPRISMA-000203,10.3390/plants10071356,Differential Evolutionary History in Visual and Olfactory Floral Cues of the Bee-Pollinated Genus Campanula (Campanulaceae),2021,https://openalex.org/W3176569435,Q01;Q06,article,HIGH_TITLE_PAIR,NO,,floral,pollinated,,floral,pollinated;pollinator;pollinators,herbivores,,,
14,SCHPRISMA-000207,10.1890/0012-9658(2001)082[2032:daieoa]2.0.co;2,DIRECT AND INDIRECT EFFECTS OF ALKALOIDS ON PLANT FITNESS VIA HERBIVORY AND POLLINATION,2001,https://openalex.org/W2026311722,Q08,article,HIGH_TITLE_PAIR,NO,,,pollination,herbivory,floral;flowers,pollination;pollinator;pollinators,herbivores;herbivory;parasites;parasitic,,,
15,SCHPRISMA-000217,10.1007/s00442-009-1424-8,Diversity of floral visitors to sympatric Lithophragma species differing in floral morphology,2009,https://openalex.org/W2096286011,Q10,article,HIGH_TITLE_PAIR,NO,,floral,floral visitors,,floral;flowers,floral visitors;pollinating;pollination;pollinator;pollinators,parasite,,,
16,SCHPRISMA-000220,10.1093/aobpla/plab029,Do flowers removed of either nectar or pollen attract fewer bumblebee pollinators? An experimental test in Impatiens oxyanthera,2021,https://openalex.org/W3166897683,Q04,article,HIGH_TITLE_PAIR,NO,,flowers,pollinators,,floral;flower;flowers,floral visitors;pollinator;pollinators,nectar robbers,,,
17,SCHPRISMA-000232,10.1111/nph.14998,Ecological causes and consequences of flower color polymorphism in a self‐pollinating plant ( Boechera stricta ),2018,https://openalex.org/W2790063807,Q06;Q07;Q12,article,HIGH_TITLE_PAIR,NO,,flower,pollinating,,floral;flower;flowers,pollinating;pollinator,herbivore;herbivores;herbivory,,,
18,SCHPRISMA-000234,10.1111/j.1558-5646.1999.tb04525.x,ECOLOGICAL COSTS OF PLANT RESISTANCE TO HERBIVORES IN THE CURRENCY OF POLLINATION,1999,https://openalex.org/W2037963925,Q08;Q09,article,HIGH_TITLE_PAIR,NO,,,pollination,herbivores,floral;flower;flowers,pollinator;pollinators,herbivores,,,
19,SCHPRISMA-000252,10.3732/ajb.1600144,Effects of florivory on plant‐pollinator interactions: Implications for male and female components of plant reproduction,2016,https://openalex.org/W2468754323,Q13,article,HIGH_TITLE_PAIR,NO,,,pollinator,florivory,floral;flower;flowers,floral visitor;pollination;pollinator;pollinators,florivory,,,
20,SCHPRISMA-000254,10.3732/ajb.92.10.1641,Effects of herbivory and inbreeding on the pollinators and mating system of Mimulus guttatus (Phrymaceae),2005,https://openalex.org/W2144981673,Q08;Q09;Q10,article,HIGH_TITLE_PAIR,NO,,,pollinators,herbivory,flower,pollinator;pollinators,antagonists;herbivore;herbivores;herbivory,,,
21,SCHPRISMA-000256,,Effects of leaf beetle herbivory on pollination success and fruit development in woodland strawberry Fragaria vesca,2013,https://openalex.org/W97634893,Q01;Q02;Q03;Q12,other,HIGH_TITLE_PAIR,NO,,,pollination,herbivory,flower;flowers,pollination;pollinator;pollinators,florivory;herbivore;herbivores;herbivory;parasitoid,,,
22,SCHPRISMA-000258,,Effects of nectar robbing on pollinator behavior and pollination success in facultative selfing Incarvillea sinensis var. sinensis,2015,https://openalex.org/W2742069203,Q13,article,HIGH_TITLE_PAIR,NO,,,pollination;pollinator,nectar robbing,floral;flower;flowers,pollinator;pollinators,nectar robbers;nectar robbing,,,
23,SCHPRISMA-000259,10.17520/biods.2015102,Effects of nectar robbing on pollinator behavior and pollination success in facultative selfing Incarvillea sinensis var. sinensis,2015,https://openalex.org/W2582737264,Q13,article,HIGH_TITLE_PAIR,NO,,,pollination;pollinator,nectar robbing,floral;flower;flowers,pollinator;pollinators,nectar robbers;nectar robbing,,,
24,SCHPRISMA-000261,10.1093/aobpla/plu031,Effects of pollination limitation and seed predation on female reproductive success of a deceptive orchid,2014,https://openalex.org/W2100102900,Q08;Q09;Q10;Q12,article,HIGH_TITLE_PAIR,NO,,,pollination,seed predation,floral;flower;flowers,pollinated;pollination;pollinators,antagonists;seed predation;seed predators,,,
25,SCHPRISMA-000277,10.1371/journal.pone.0088948,"Evaluating the Interacting Influences of Pollination, Seed Predation, Invasive Species and Isolation on Reproductive Success in a Threatened Alpine Plant",2014,https://openalex.org/W2046491039,Q08,article,HIGH_TITLE_PAIR,NO,,,pollination,seed predation,floral,pollination;pollinator;pollinators,herbivores;herbivory;seed predation,,,
26,SCHPRISMA-000278,10.17129/botsci.1031,Evaluation of the symmetric effect of antagonists in the floral morphs of the distylic shrub Bouvardia ternifolia : a field study,2018,https://openalex.org/W2789914769,Q08;Q10;Q12;Q13,article,HIGH_TITLE_PAIR,NO,,floral,,antagonists,floral,pollination;pollinators,antagonists;herbivore;herbivory;nectar thieves;seed predation,,,
27,SCHPRISMA-000280,10.1016/j.sajb.2008.01.066,Evidence for pollination by small mammals in the parasitic plant Cytinus visseri (Cytinaceae),2008,https://openalex.org/W2087055758,Q05,article,HIGH_TITLE_PAIR,NO,,,pollination,parasitic,floral;flowers,pollination;pollinator;pollinators,,,,
28,SCHPRISMA-000282,10.1016/j.cub.2022.09.013,Evidence for the recruitment of florivorous plant bugs as pollinators,2022,https://openalex.org/W4300978987,Q02;Q10,article,HIGH_TITLE_PAIR,NO,,,pollinators,florivorous,floral;flower;flowers,pollinated;pollination;pollinators,antagonistic;florivores,,,
29,SCHPRISMA-000283,10.1080/17550874.2022.2137382,Evidence of short-term shifts in floral traits in response to nectar robbing,2022,https://openalex.org/W4306756432,Q13,article,HIGH_TITLE_PAIR,NO,,floral,,nectar robbing,floral;flowers,pollinators,nectar robber;nectar robbing,,,
30,SCHPRISMA-000284,10.1093/aob/mcx026,Evidence that a herbivore tolerance response affects selection on floral traits and inflorescence architecture in purple loosestrife (Lythrum salicaria),2017,https://openalex.org/W2601277631,Q08,article,HIGH_TITLE_PAIR,NO,,floral,,herbivore,floral;flowers,pollination;pollinator;pollinators,florivory;herbivore;herbivores;herbivory;parasitism,,,
31,SCHPRISMA-000288,10.1046/j.0028-646x.2001.00268.x,"Evolution of floral form: electrostatic forces, pollination, and adaptive compromise",2001,https://openalex.org/W1994849520,Q09,article,HIGH_TITLE_PAIR,NO,,floral,pollination,,fig;floral;flower;flowers,floral visitors;pollinating;pollination;pollinator;pollinators,herbivores;nectar thieves;nonpollinating;seed-eating,,,
32,SCHPRISMA-000289,10.3389/fevo.2020.00030,Evolution of Floral Fragrance Is Compromised by Herbivory,2020,https://openalex.org/W3007624932,Q01;Q05;Q09;Q10;Q11,article,HIGH_TITLE_PAIR,NO,,floral,,herbivory,floral;flowers,pollinator,herbivore;herbivores;herbivory,,,
33,SCHPRISMA-000295,10.1007/s11829-025-10131-7,Experimental florivory and its effects on pollinators of Opuntia cantabrigiensis Lynch (Cactaceae),2025,https://openalex.org/W4407420278,Q09;Q10,article,HIGH_TITLE_PAIR,NO,,,pollinators,florivory,floral;flower;flowers,pollinator;pollinators,florivores;florivory,,,
