review_order,record_id,doi,title,year,openalex_id,query_ids,openalex_work_type,machine_priority,live_concept_filter_drift,missing_live_concepts,title_floral_matches,title_pollinator_matches,title_antagonist_matches,abstract_floral_matches,abstract_pollinator_matches,abstract_antagonist_matches,human_title_abstract_decision,human_title_abstract_reason,human_note
11,SCHPRISMA-000387,10.1371/journal.pone.0166646,Herbivore-Induced DNA Demethylation Changes Floral Signalling and Attractiveness to Pollinators in Brassica rapa,2016,https://openalex.org/W2552723700,Q01;Q05;Q08;Q09;Q10;Q11,article,HIGH_TITLE_TRIPLE,NO,,floral,pollinators,herbivore,floral;flower;flowers,pollinator,herbivore;herbivory,,,
12,SCHPRISMA-000393,10.1002/evl3.200,Herbivory and pollination impact on the evolution of herbivore-induced plasticity in defense and floral traits,2020,https://openalex.org/W3094747287,Q05;Q08;Q10;Q11,article,HIGH_TITLE_TRIPLE,NO,,floral,pollination,herbivore;herbivory,floral,pollination;pollinators,herbivore;herbivores;herbivory,,,
13,SCHPRISMA-000394,10.1007/s10886-020-01213-2,Herbivory and Time Since Flowering Shape Floral Rewards and Pollinator-Pathogen Interactions,2020,https://openalex.org/W3081944486,Q05;Q08;Q10;Q11;Q12,article,HIGH_TITLE_TRIPLE,NO,,floral,pollinator,herbivory,,,,,,
14,SCHPRISMA-000397,10.1007/s10886-015-0597-3,Herbivory Increases Fruit Set in Silene latifolia: A Consequence of Induced Pollinator-Attracting Floral Volatiles?,2015,https://openalex.org/W611936191,Q05,article,HIGH_TITLE_TRIPLE,NO,,floral,pollinator,herbivory,,,,,,
15,SCHPRISMA-000398,10.1007/s10682-016-9875-y,Herbivory-induced changes in the olfactory and visual display of flowers and extrafloral nectaries affect pollinator behavior,2016,https://openalex.org/W2554372037,Q01;Q08;Q10;Q11,article,HIGH_TITLE_TRIPLE,NO,,flowers,pollinator,herbivory,floral;flowers,pollinated;pollinator;pollinators,herbivory,,,
16,SCHPRISMA-000301,10.1111/1365-2745.12657,Facilitated exploitation of pollination mutualisms: fitness consequences for plants,2016,https://openalex.org/W2507868743,Q12;Q13,article,HIGH_TITLE_PAIR,NO,,,pollination,exploitation,flowers,pollinator,exploitation;exploiter;exploiters;nectar robbers;nectar robbing,,,
17,SCHPRISMA-000304,10.3410/f.736775180.793572211,"Faculty Opinions recommendation of A Promiscuous CYP706A3 Reduces Terpene Volatile Emission from Arabidopsis Flowers, Affecting Florivores and the Floral Microbiome.",2020,https://openalex.org/W4236195341,Q01;Q02;Q05;Q11,peer-review,HIGH_TITLE_PAIR,NO,,floral;flowers,,florivores,floral;flower;flowers,pollinators,florivores;florivory,,,
18,SCHPRISMA-000305,10.3410/f.717989053.793472819,Faculty Opinions recommendation of Caffeine in floral nectar enhances a pollinator's memory of reward.,2013,https://openalex.org/W4244801482,Q01;Q08,peer-review,HIGH_TITLE_PAIR,NO,,floral,pollinator,,floral,pollinator;pollinators,antagonist,,,
19,SCHPRISMA-000306,10.3410/f.717957258.793461757,Faculty Opinions recommendation of The contribution of a pollinating seed predator to selection on Silene latifolia females.,2012,https://openalex.org/W4210318985,Q12,peer-review,HIGH_TITLE_PAIR,NO,,,pollinating,seed predator,flower;flowers,pollinating,antagonistic;seed predator,,,
20,SCHPRISMA-000311,10.1016/j.sajb.2017.04.010,"Floral and pollination biology, breeding system and nectar traits of Callistemon citrinus (Myrtaceae) cultivated in India",2017,https://openalex.org/W2609700883,Q13,article,HIGH_TITLE_PAIR,NO,,floral,pollination,,floral;flower;flowers,flower visitors;pollination;pollinations;pollinator;pollinators,nectar thieves,,,
21,SCHPRISMA-000313,10.18725/oparu-1149,"Floral biology, flowering phenology and floral visitors of five insect-pollinated tree species in a tropical lowland rainforest remnant of Pernambuco, Brazil",2008,https://openalex.org/W2344283507,Q02,dissertation,HIGH_TITLE_PAIR,NO,,floral,floral visitors;pollinated,,floral;flower,floral visitors;pollination;pollinators,florivore,,,
22,SCHPRISMA-000314,10.1071/bt22055,"Floral biology, pollination vectors and breeding system of Zieria granulata (Rutaceae), an endangered shrub endemic to eastern Australia",2023,https://openalex.org/W4381623784,Q12,article,HIGH_TITLE_PAIR,NO,,floral,pollination,,floral;flower;flowers,floral visitors;pollination;pollinators,seed predation,,,
23,SCHPRISMA-000315,10.1086/706240,"Floral Evolution: Breeding Systems, Pollinators, and Beyond",2019,https://openalex.org/W2980376333,Q06;Q08;Q09;Q10,article,HIGH_TITLE_PAIR,NO,,floral,pollinators,,floral;flower;flowers,pollinated;pollination;pollinator;pollinators,antagonistic;herbivores;nonpollinator,,,
24,SCHPRISMA-000318,10.1016/j.ppees.2023.125764,Floral nectar: Fifty years of new ecological perspectives beyond pollinator reward,2023,https://openalex.org/W4389003255,Q01;Q04;Q08;Q10;Q13,article,HIGH_TITLE_PAIR,NO,,floral,pollinator,,floral;flower,pollinator;pollinators,antagonists,,,
25,SCHPRISMA-000319,10.1371/journal.pone.0055914,Floral Nectar Guide Patterns Discourage Nectar Robbing by Bumble Bees,2013,https://openalex.org/W1963768338,Q07;Q08;Q10;Q11;Q13,article,HIGH_TITLE_PAIR,NO,,floral,,nectar robbing,floral;flower;flowers,floral visitors;pollinators,antagonists;nectar robbing,,,
26,SCHPRISMA-000320,10.3389/fevo.2020.00148,Floral Odors Can Interfere With the Foraging Behavior of Parasitoids Searching for Hosts,2020,https://openalex.org/W3031330247,Q01;Q05,article,HIGH_TITLE_PAIR,NO,,floral,,parasitoids,floral;flowers,pollinators,herbivore;herbivores;parasitoid;parasitoids,,,
27,SCHPRISMA-000321,10.1002/cbdv.202201139,Floral Phytochemistry: Impact of Volatile Organic Compounds and Nectar Secondary Metabolites on Pollinator Behavior and Health,2023,https://openalex.org/W4361191195,Q01;Q02;Q04;Q05;Q09;Q10;Q13,article,HIGH_TITLE_PAIR,NO,,floral,pollinator,,,pollinator;pollinators,nectar robbers,,,
28,SCHPRISMA-000326,10.1111/j.1365-2435.2009.01643.x,Floral scent in a whole‐plant context: moving beyond pollinator attraction,2009,https://openalex.org/W2076023291,Q01;Q02;Q03;Q05;Q08;Q10;Q12,article,HIGH_TITLE_PAIR,NO,,floral,pollinator,,floral;flower;flowers,pollinated;pollination;pollinator;pollinators,antagonists;florivores;florivory;herbivore;herbivores;herbivory;parasitoid;parasitoids;seed predators,,,
29,SCHPRISMA-000328,10.1665/034.019.0111,"Floral Scent Terpenoids Deter the Facultative FlorivoreMetrioptera bicolor(Ensifera, Tettigoniidae, Decticinae)",2010,https://openalex.org/W1993760894,Q01;Q02,article,HIGH_TITLE_PAIR,NO,,floral,,florivoremetrioptera,floral;flower;flowers,pollinating;pollinators,antagonists;florivores;herbivores;non-pollinating,,,
30,SCHPRISMA-000330,10.1016/j.pld.2022.11.002,Floral trait variation across individual plants within a population enhances defense capability to nectar robbing,2022,https://openalex.org/W4309196696,Q10;Q13,article,HIGH_TITLE_PAIR,NO,,floral,,nectar robbing,floral;flowers,pollinated;pollination;pollinator;pollinators,antagonists;nectar robber;nectar robbers;nectar robbing,,,
31,SCHPRISMA-000331,10.3389/fevo.2018.00019,Floral Trait Variations Among Wild Tobacco Populations Influence the Foraging Behavior of Hawkmoth Pollinators,2018,https://openalex.org/W2790382157,Q01;Q02;Q05;Q10;Q11,article,HIGH_TITLE_PAIR,NO,,floral,pollinators,,floral;flower;flowers,flower visitors;pollination;pollinator;pollinators,exploit,,,
32,SCHPRISMA-000332,,Floral Traits and Pollination System of Impatiens chinensis(Balsaminaceae),2009,https://openalex.org/W2978294174,Q13,article,HIGH_TITLE_PAIR,NO,,floral,pollination,,floral;flower;flowers,pollination;pollinator;pollinators,nectar robber,,,
33,SCHPRISMA-000333,10.31390/gradschool_dissertations.1813,"Floral traits, pollinator behavior, and plant reproduction: tests of natural and sexual selection in the hummingbird-pollinated herb Chrysothemis friedrichsthaliana",2007,https://openalex.org/W2760757457,Q06;Q08;Q09;Q12;Q13,dissertation,HIGH_TITLE_PAIR,NO,,floral,pollinated;pollinator,,floral;flower;flowers,floral visitors;pollination;pollinator;pollinators,herbivore;herbivores,,,
34,SCHPRISMA-000335,10.1086/686584,"Floral Variation, Nectar Production, and Reproductive Success of Two Drymonia (Gesneriaceae) Species with Mixed Pollination Syndromes",2016,https://openalex.org/W2399485274,Q13,article,HIGH_TITLE_PAIR,NO,,floral,pollination,,floral;flower;flowers,floral visitors;pollination;pollinator;pollinators,nectar robbers,,,
35,SCHPRISMA-000336,10.1371/journal.pone.0300398,Floral visitors of sesame (Sesamum indicum L.): Elucidating their nectar-robbing behaviour and impacts on the plant reproduction,2024,https://openalex.org/W4394910049,Q13,article,HIGH_TITLE_PAIR,NO,,floral,floral visitors,,flower;flowers,pollinators,nectar robbing,,,
36,SCHPRISMA-000342,10.1186/s12898-015-0047-7,Floral volatiles interfere with plant attraction of parasitoids: ontogeny-dependent infochemical dynamics in Brassica rapa,2015,https://openalex.org/W1509872849,Q01;Q05,article,HIGH_TITLE_PAIR,NO,,floral,,parasitoids,floral,pollinators,herbivore;herbivores;herbivory;parasitoid;parasitoids,,,
37,SCHPRISMA-000344,10.1093/aobpla/plw036,Florivory and pollinator visitation: a cautionary tale,2015,https://openalex.org/W2365642820,Q05;Q09;Q10;Q12,article,HIGH_TITLE_PAIR,NO,,,pollinator,florivory,floral;flowers,pollinated;pollination;pollinator;pollinators,florivory;herbivores,,,
38,SCHPRISMA-000345,10.1002/ece3.3921,Florivory indirectly decreases the plant reproductive output through changes in pollinator attraction,2018,https://openalex.org/W2789756960,Q09,article,HIGH_TITLE_PAIR,NO,,,pollinator,florivory,floral;flower;flowers,floral visitors;pollination;pollinator;pollinators,florivores;florivory;herbivores,,,
39,SCHPRISMA-000346,10.1002/ecs2.1326,Florivory shapes both leaf and floral interactions,2016,https://openalex.org/W2435941939,Q01;Q02;Q03;Q04;Q05;Q09;Q10;Q12;Q13,article,HIGH_TITLE_PAIR,NO,,floral,,florivory,floral;flower;flowers,pollinators,antagonisms;florivory;herbivory,,,
40,SCHPRISMA-000347,10.3390/plants9030397,"Flower Colour Polymorphism, Pollination Modes, Breeding System and Gene Flow in Anemone coronaria",2020,https://openalex.org/W3012794590,Q01;Q03;Q06;Q07;Q08;Q10;Q12,article,HIGH_TITLE_PAIR,NO,,flower,pollination,,flower;flowers,pollinated;pollinating;pollination;pollinators,non-pollinating,,,
41,SCHPRISMA-000348,10.3389/fpls.2020.611877,"Flower Production, Headspace Volatiles, Pollen Nutrients, and Florivory in Tanacetum vulgare Chemotypes",2021,https://openalex.org/W3122082592,Q01;Q02;Q05;Q08;Q09;Q10;Q11,article,HIGH_TITLE_PAIR,NO,,flower,,florivory,floral;flower;flowers,flower visitors;pollinators,antagonistic;florivores;florivorous;florivory,,,
42,SCHPRISMA-000349,10.1098/rstb.2021.0157,Flower sharing and pollinator health: a behavioural perspective,2022,https://openalex.org/W3201645558,Q10;Q11,article,HIGH_TITLE_PAIR,NO,,flower,pollinator,,floral;flowers,pollinating;pollinator,parasites,,,
43,SCHPRISMA-000350,10.1111/jse.70046,Flower traits evolution in a bird‐pollinated genus Brandisia (Orobanchaceae) from Asia,2026,https://openalex.org/W7125816984,Q10,article,HIGH_TITLE_PAIR,NO,,flower,pollinated,,floral;flowers,pollinated;pollination;pollinator;pollinators,antagonists;parasitic,,,
44,SCHPRISMA-000352,10.1101/2023.11.21.568056,Flower visitor groups show differential responses to individual and plot-level chemodiversity with consequences for plant fitness,2023,https://openalex.org/W4388880329,Q01;Q02;Q04;Q05;Q10;Q13,preprint,HIGH_TITLE_PAIR,NO,,flower,flower visitor,,floral;flower,floral visitors;flower visitors;pollinator;pollinators,florivore;florivores;herbivores,,,
45,SCHPRISMA-000354,10.1590/0102-33062019abb0209,Flowering and pollination ecology of Cleistocactus baumannii (Cactaceae) in the Brazilian Chaco: pollinator dependence and floral larceny,2020,https://openalex.org/W3013915418,Q13,article,HIGH_TITLE_PAIR,NO,,floral,pollination;pollinator,,floral;flower;flowers,floral visitors;pollinator,nectar robber;nectar robbers;nectar robbery,,,
46,SCHPRISMA-000355,10.6084/m9.figshare.12027627,Flowering and pollination ecology of Cleistocactus baumannii (Cactaceae) in the Brazilian Chaco: pollinator dependence and floral larceny,2020,https://openalex.org/W4394281482,Q13,dataset,HIGH_TITLE_PAIR,NO,,floral,pollination;pollinator,,floral;flower;flowers,floral visitors;pollinator,nectar robber;nectar robbers;nectar robbery,,,
47,SCHPRISMA-000376,10.1093/aob/mcw097,Geographic consistency and variation in conflicting selection generated by pollinators and seed predators,2016,https://openalex.org/W2468917534,Q08;Q09;Q10;Q12;Q13,article,HIGH_TITLE_PAIR,NO,,,pollinators,seed predators,floral;flowers,pollinated;pollinators,florivores;seed predation;seed predators,,,
48,SCHPRISMA-000379,10.4236/ajps.2015.65079,"Geographic Variation in Flower Size and Flower-Visitor Composition of Two Bumblebee-Pollinated, Spring-Flowering Herbs, Lamium album L. var. barbatum (Lamiaceae) and Meehania urticifolia (Lamiaceae)",2015,https://openalex.org/W1991428849,Q09;Q13,article,HIGH_TITLE_PAIR,NO,,flower,pollinated,,flower;flowers,flower visitors;pollinated;pollinator,nectar robbers,,,
49,SCHPRISMA-000380,10.3732/ajb.1600114,Geographic variation in resistance to nectar robbing and consequences for pollination,2016,https://openalex.org/W2528815145,Q10;Q12;Q13,article,HIGH_TITLE_PAIR,NO,,,pollination,nectar robbing,floral;flowers,pollinator;pollinators,antagonists;nectar robbing,,,
50,SCHPRISMA-000381,10.1371/journal.pone.0112013,"Gloss, Colour and Grip: Multifunctional Epidermal Cell Shapes in Bee- and Bird-Pollinated Flowers",2014,https://openalex.org/W2148710213,Q07;Q09;Q10;Q11;Q13,article,HIGH_TITLE_PAIR,NO,,flowers,pollinated,,floral;flower;flowers,pollinated;pollinating;pollinator;pollinators,antagonists;nectar robbing;nectar thieves;non-pollinating,,,
51,SCHPRISMA-000383,10.1016/j.phytochem.2023.113707,Grayanotoxin I variation across tissues and species of Rhododendron suggests pollinator-herbivore defence trade-offs,2023,https://openalex.org/W4368370419,Q01;Q04;Q10;Q11;Q13,article,HIGH_TITLE_PAIR,NO,,,pollinator,herbivore,floral,pollinator,herbivore;herbivores,,,
52,SCHPRISMA-000388,10.3389/fpls.2021.727957,Herbivore-Mediated Selection on Floral Display Covaries Nonlinearly With Plant-Antagonistic Interaction Intensity Among Primrose Populations,2021,https://openalex.org/W3212090771,Q01;Q08;Q09;Q10;Q11,article,HIGH_TITLE_PAIR,NO,,floral,,antagonistic;herbivore,floral;flowers,pollinated,antagonistic;herbivore;herbivory,,,
53,SCHPRISMA-000389,,HERBIVORE RESISTANCE AND POLLINATION: IMPLICATIONS FOR POLLINATION AND NECTAR ROBBING IN A DISTYLOUS PLANT',2006,https://openalex.org/W2398098277,Q13,article,HIGH_TITLE_PAIR,NO,,,pollination,herbivore;nectar robbing,floral;flower;flowers,floral visitors;pollination;pollinators,herbivore;herbivores;herbivory;nectar robber,,,
54,SCHPRISMA-000390,10.1890/09-1373.1,"Herbivores affect natural selection for floral‐sex ratio in a field population of horsenettle, Solanum carolinense",2010,https://openalex.org/W2104312221,Q12,article,HIGH_TITLE_PAIR,NO,,floral,,herbivores,floral;flower;flowers,pollination,herbivores;herbivory,,,
55,SCHPRISMA-000391,10.1111/jeb.13392,Herbivores and plant defences affect selection on plant reproductive traits more strongly than pollinators,2018,https://openalex.org/W2896598112,Q09,article,HIGH_TITLE_PAIR,NO,,,pollinators,herbivores,flower,pollination;pollinator;pollinators,antagonistic;herbivore;herbivores;herbivory,,,
56,SCHPRISMA-000392,10.1111/nph.12783,Herbivory and floral signaling: phenotypic plasticity and tradeoffs between reproduction and indirect defense,2014,https://openalex.org/W2155332905,Q05;Q06,article,HIGH_TITLE_PAIR,NO,,floral,,herbivory,floral;flower;flowers,pollinator;pollinators,herbivore;herbivores;herbivory;parasitoid;parasitoids,,,
57,SCHPRISMA-000395,10.1371/journal.pone.0031971,Herbivory by a Phloem-Feeding Insect Inhibits Floral Volatile Production,2012,https://openalex.org/W2067846072,Q01;Q05,article,HIGH_TITLE_PAIR,NO,,floral,,herbivory,floral;flower,pollinators,herbivore;herbivores;herbivory,,,
