record_id,doi,title,year,venue,source_databases,query_ids,openalex_id,crossref_url,identification_status,screen_title_abstract,screen_title_abstract_reason,fulltext_status,screen_fulltext,screen_fulltext_reason,evidence_lanes,A_trait,A_manipulated,pollinator_response_measured,antagonist_response_measured,common_reproductive_outcome,selection_form,cue_architecture,evolutionary_level,causal_strength,claim_ceiling,study_region,country_or_ocean_basin,latitude_reported,longitude_reported,spatial_grain,spatial_extent,single_site_vs_multisite,geographic_contrast,receiver_assemblage_contrast,biogeographic_context,historical_or_phylogenetic_context,notes
SCHPRISMA-000011,10.1002/ecy.2707,A meta‐analysis of herbivore effects on plant attractiveness to pollinators,2019,Ecology,OPENALEX,Q01;Q05;Q09;Q10;Q11,https://openalex.org/W2937285226,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000012,10.1101/2021.10.21.465334,A pathogenic fungus uses volatiles to entice male flies into fatal matings with infected female cadavers,2021,bioRxiv (Cold Spring Harbor Laboratory),OPENALEX,Q01;Q05,https://openalex.org/W3205741795,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000013,10.1186/s12862-023-02151-9,A phylogeny of the evening primrose family (Onagraceae) using a target enrichment approach with 303 nuclear loci,2023,BMC Ecology and Evolution,OPENALEX,Q01;Q05,https://openalex.org/W4388744213,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000014,10.2307/2656693,A prescription for gender study in thenext century,2000,American Journal of Botany,OPENALEX,Q09,https://openalex.org/W2184153816,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000015,10.1105/tpc.19.00320,"A Promiscuous CYP706A3 Reduces Terpene Volatile Emission from Arabidopsis Flowers, Affecting Florivores and the Floral Microbiome",2019,The Plant Cell,OPENALEX,Q01;Q02;Q05;Q11,https://openalex.org/W2981167656,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000016,10.1002/ajb2.1100,A quick glance at noteworthy articles in this month's issue,2018,American Journal of Botany,OPENALEX,Q13,https://openalex.org/W4252015692,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000017,10.38059/biodiversity.814617,A review for the pollinators of Papilionaceous flowers,2021,Turkish Journal of Biodiversity,OPENALEX,Q13,https://openalex.org/W3142164350,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000018,10.1016/j.scienta.2023.112402,A review on floral scents and pigments in cucurbits: Their biosynthesis and role in flower visitor interactions,2023,Scientia Horticulturae,OPENALEX,Q02,https://openalex.org/W4386322684,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000019,10.1038/s41467-022-35353-8,A signal-like role for floral humidity in a nocturnal pollination system,2022,Nature Communications,OPENALEX,Q10;Q11,https://openalex.org/W4311766672,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000020,10.1111/j.1438-8677.2008.00140.x,A simple floral fragrance and unusual osmophore structure in Cyclopogon elatus (Orchidaceae),2009,Plant Biology,OPENALEX,Q01;Q02;Q04;Q05;Q08;Q13,https://openalex.org/W1989800006,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000021,10.1111/nph.15844,A simple genetic architecture and low constraint allow rapid floral evolution in a diverse and recently radiating plant genus,2019,New Phytologist,OPENALEX,Q10,https://openalex.org/W2910124651,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000022,10.1101/516377,A simple genetic architecture and low constraint allows rapid floral evolution in a diverse and recently radiating plant genus,2019,bioRxiv (Cold Spring Harbor Laboratory),OPENALEX,Q10,https://openalex.org/W2949331204,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000023,10.1093/aobpla/plab054,A sophisticated case of division of labour in the trimorphic stamens of theCassia fistula(Leguminosae) flower,2021,AoB Plants,OPENALEX,Q10,https://openalex.org/W3196601519,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000024,10.1186/s12915-015-0124-6,A stable JAZ protein from peach mediates the transition from outcrossing to self-pollination,2015,BMC Biology,OPENALEX,Q08,https://openalex.org/W2080105818,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000025,10.20381/ruor-2913,A Study of the Impact of an Introduced Herbivore on Pollinator-mediated Interactions and Female Fitness in 'Lythrum salicaria',2013,uO Research (University of Ottawa),OPENALEX,Q08,https://openalex.org/W928999467,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000026,10.1111/een.13411,A tale of long tails: Evolution of host specialization in non‐pollinating fig wasps,2024,Ecological Entomology,OPENALEX,Q01,https://openalex.org/W4405202631,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000027,10.20381/ruor-23532,"Adaptation and Diversification in Bluebells (Mertensia spp., Boraginaceae)",2019,uO Research (University of Ottawa),OPENALEX,Q08;Q09,https://openalex.org/W2968547934,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000028,10.1126/science.364.6436.141-g,Adaptation by way of compromise,2019,Science,OPENALEX,Q08,https://openalex.org/W2939411615,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000029,,Adaptations to ecological interactions.,1993,UA Campus Repository (The University of Arizona),OPENALEX,Q12,https://openalex.org/W839438783,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000030,10.1890/14-0119.1,Additive effects of pollinators and herbivores result in both conflicting and reinforcing selection on floral traits,2014,Ecology,OPENALEX,Q08;Q10,https://openalex.org/W2074727639,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000031,10.1890/11-0825.1,Advertising to the enemy: enhanced floral fragrance increases beetle attraction and reduces plant reproduction,2011,Ecology,OPENALEX,Q02,https://openalex.org/W2135120665,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000032,10.1038/s41598-024-65352-2,Agricultural landscape simplification affects wild plant reproduction indirectly through herbivore-mediated changes in floral display,2024,Scientific Reports,OPENALEX,Q08;Q09;Q10;Q11,https://openalex.org/W4399900101,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000033,10.1098/rspb.2023.1453,"Agricultural soil legacy influences multitrophic interactions between crops, their pathogens and pollinators",2023,Proceedings of the Royal Society B Biological Sciences,OPENALEX,Q01;Q08;Q09;Q10;Q11,https://openalex.org/W4389146472,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000034,10.1890/07-1491.1,ALIEN BUMBLE BEE AFFECTS NATIVE PLANT REPRODUCTION THROUGH INTERACTIONS WITH NATIVE BUMBLE BEES,2008,Ecology,OPENALEX,Q13,https://openalex.org/W2072695199,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000035,10.1101/2020.04.26.062133,Allelic differences of clustered terpene synthases contribute to correlated intra-specific variation of floral and herbivory-induced volatiles in a wild tobacco,2020,bioRxiv (Cold Spring Harbor Laboratory),OPENALEX,Q01;Q05;Q07;Q10;Q11,https://openalex.org/W3019641630,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000036,10.1111/nph.16739,Allelic differences of clustered terpene synthases contribute to correlated intraspecific variation of floral and herbivory‐induced volatiles in a wild tobacco,2020,New Phytologist,OPENALEX,Q01;Q05;Q06;Q10;Q11,https://openalex.org/W3034243592,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000037,10.1016/j.agee.2022.108219,"Amending soil with insect exuviae improves herbivore tolerance, pollinator attraction and seed yield of Brassica nigra plants",2022,Agriculture Ecosystems & Environment,OPENALEX,Q08;Q10,https://openalex.org/W4307040827,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000038,10.1002/ajb2.16186,Among‐species variation in flower size determines florivory in the largest tropical wetland,2023,American Journal of Botany,OPENALEX,Q08;Q09;Q10;Q13,https://openalex.org/W4376573794,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000039,10.1104/pp.010762,An Ecologically Motivated Analysis of Plant-Herbivore Interactions in Native Tobacco,2001,PLANT PHYSIOLOGY,OPENALEX,Q01,https://openalex.org/W2019797603,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000040,10.1093/sysbio/sys068,An Extreme Case of Plant–Insect Codiversification: Figs and Fig-Pollinating Wasps,2012,Systematic Biology,OPENALEX,Q05,https://openalex.org/W2110047881,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000041,10.1093/aob/mcae187,An introduction to the Special Issue on Global Change and Plant Reproduction,2024,Annals of Botany,OPENALEX,Q01;Q02;Q04;Q05;Q09;Q10;Q13,https://openalex.org/W4405533167,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000042,10.3390/horticulturae7110451,"An Update on the Function, Biosynthesis and Regulation of Floral Volatile Terpenoids",2021,Horticulturae,OPENALEX,Q01;Q02;Q03;Q05;Q06;Q07;Q09;Q10;Q12,https://openalex.org/W3210740577,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000043,10.1186/s12870-022-03659-w,Ancillary polymorphic floral traits between two morphs adaptive to hawkmoth pollination in distylous plant Tirpitzia sinensis (Linaceae),2022,BMC Plant Biology,OPENALEX,Q01;Q04;Q10;Q13,https://openalex.org/W4281867424,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000044,10.1101/2020.02.11.943431,Ant guards influence the mating system of their plant hosts by altering pollinator behaviour,2020,bioRxiv (Cold Spring Harbor Laboratory),OPENALEX,Q08,https://openalex.org/W3006511022,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000045,,Ant-pollinator interactions in Turnera velutina: ecological costs and evolutionary consequences for the ant-plant pollination,2019,ERA,OPENALEX,Q05;Q08;Q10;Q12,https://openalex.org/W2945553776,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000046,10.1098/rspb.2010.0163,Antagonistic effects of floral scent in an insect–plant interaction,2010,Proceedings of the Royal Society B Biological Sciences,OPENALEX,Q01;Q05,https://openalex.org/W2116534741,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000047,,ANTAGONISTS AND MIXED MATING: CONSEQUENCES FOR THE DEMOGRAPHY OF IMPATIENS CAPENSIS (BALSAMINACEAE),2005,D-Scholarship@Pitt (University of Pittsburgh),OPENALEX,Q08;Q09;Q10,https://openalex.org/W2122243689,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000048,10.1111/plb.70060,Anther mimicry in an African orchid pollinated by pollen‐feeding beetles,2025,Plant Biology,OPENALEX,Q01;Q02;Q07,https://openalex.org/W4411555023,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000049,10.1111/evo.12900,Antiherbivore defenses alter natural selection on plant reproductive traits,2016,Evolution,OPENALEX,Q10,https://openalex.org/W2291278863,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000050,10.1111/jen.13427,Ants as Potential Pollinators in Agroecological Crops,2025,Journal of Applied Entomology,OPENALEX,Q02;Q04;Q10;Q13,https://openalex.org/W4410811939,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000051,10.1093/jxb/eraf522,Aphid infestation induces plant sex-specific changes in floral chemistry and pollinator behaviour in Silene latifolia,2025,Journal of Experimental Botany,OPENALEX,Q01,https://openalex.org/W4416768539,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000052,10.1101/2025.07.22.666187,Aphid infestation induces plant-sex-specific changes in floral chemistry and pollinator behaviour in Silene latifolia,2025,bioRxiv (Cold Spring Harbor Laboratory),OPENALEX,Q01,https://openalex.org/W4412865162,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000053,10.1371/journal.pone.0018230,Arctic Mustard Flower Color Polymorphism Controlled by Petal-Specific Downregulation at the Threshold of the Anthocyanin Biosynthetic Pathway,2011,PLoS ONE,OPENALEX,Q01;Q06,https://openalex.org/W2145916438,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000054,10.1007/s10682-014-9751-6,Are pollinators and seed predators selective agents on flower color in Gentiana lutea?,2015,Evolutionary Ecology,OPENALEX,Q12,https://openalex.org/W631268853,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000055,10.1007/s10682-022-10174-9,Are some species ‘robust’ to exploitation? Explaining persistence in deceptive relationships,2022,Evolutionary Ecology,OPENALEX,Q01;Q05;Q06;Q10,https://openalex.org/W4223459709,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000056,10.1093/aob/mcu244,"Are tetraploids more successful? Floral signals, reproductive success and floral isolation in mixed-ploidy populations of a terrestrial orchid",2015,Annals of Botany,OPENALEX,Q01;Q05;Q07;Q08;Q09;Q10;Q11,https://openalex.org/W2318695125,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000057,10.1111/ele.12257,Arranging the bouquet of disease: floral traits and the transmission of plant and animal pathogens,2014,Ecology Letters,OPENALEX,Q10,https://openalex.org/W2074333649,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000058,,Arthopod Fauna Associated With Kudzu (Pueraria montana var. lobata Willd) In North Carolina,2004,NCSU Libraries Repository (North Carolina State University Libraries),OPENALEX,Q06,https://openalex.org/W2521346186,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000059,10.33745/ijzi.2022.v08i01.011,Arthropod Assemblage Associated with Clerodendrum infortunatum L. (Family: Lamiaceae),2022,International Journal of Zoological Investigations,OPENALEX,Q01;Q04,https://openalex.org/W4225774532,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000060,10.3390/insects14120913,Arthropods Associated with Invasive Frangula alnus (Rosales: Rhamnaceae): Implications for Invasive Plant and Insect Management,2023,Insects,OPENALEX,Q01;Q02;Q05,https://openalex.org/W4389098646,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000061,10.7818/ecos.2013.22-2.16,Asociación entre el robo de néctar y las características florales en una comunidad montana de los Andes colombianos,2013,Ecosistemas,OPENALEX,Q13,https://openalex.org/W3129629679,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000062,10.14393/ufu.te.2021.395,Aspectos reprodutivos de orquídeas em ambientes de Vereda do Cerrado,2021,,OPENALEX,Q08;Q09,https://openalex.org/W4207006457,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000063,10.1007/s44372-024-00071-6,Assessing floral trait variation in Platanthera dilatata (Orchidaceae) across an elevational gradient,2024,Discover Plants.,OPENALEX,Q06;Q08;Q09;Q10,https://openalex.org/W4405706256,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000064,10.1088/1755-1315/549/1/012068,"Assessing the Floral Volatile Constituents of Male and Female Rafflesia Kerri Meijer from Lojing Highlands, Peninsular Malaysia",2020,IOP Conference Series Earth and Environmental Science,OPENALEX,Q01;Q05,https://openalex.org/W3088546932,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000065,10.5962/p.266514,Association of three species of Strymon Hubner (Lycaenidae: Theclinae: Eumaeini) with bromeliads in southern Brazil,2010,Journal of Research on the Lepidoptera,OPENALEX,Q13,https://openalex.org/W4298297996,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000066,10.1038/srep07721,Asymmetrical disassortative pollination in a distylous primrose: the complementary roles of bumblebee nectar robbers and syrphid flies,2015,Scientific Reports,OPENALEX,Q13,https://openalex.org/W2024969640,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000067,10.1002/ece3.1544,Asymmetrical nature of the T rollius– C hiastocheta interaction: insights into the evolution of nursery pollination systems,2015,Ecology and Evolution,OPENALEX,Q10,https://openalex.org/W2103504379,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000068,10.1105/tpc.19.00814,Attract or Defend: The CYP-Associated Versatility of Terpenoids,2019,The Plant Cell,OPENALEX,Q02,https://openalex.org/W2981246940,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000069,10.1890/03-0409,ATTRACTING ANTAGONISTS: DOES FLORAL NECTAR INCREASE LEAF HERBIVORY?,2004,Ecology,OPENALEX,Q10;Q12;Q13,https://openalex.org/W2102556602,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000070,10.3732/ajb.1400171,Attracting mutualists and antagonists: Plant trait variation explains the distribution of specialist floral herbivores and pollinators on crops and wild gourds,2014,American Journal of Botany,OPENALEX,Q01;Q03;Q10;Q12,https://openalex.org/W2129977771,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000071,10.3389/fpls.2026.1761150,Augmenting plant-pollinator interactions to promote biodiversity and global food security,2026,Frontiers in Plant Science,OPENALEX,Q02,https://openalex.org/W7154504600,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000072,10.7554/elife.07641.009,Author response: How scent and nectar influence floral antagonists and mutualists,2015,,OPENALEX,Q01,https://openalex.org/W2986321041,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000073,10.1890/13-2309.1,Balancing anti‐herbivore benefits and anti‐pollinator costs of defensive mutualists,2014,Ecology,OPENALEX,Q05,https://openalex.org/W2050002115,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000074,10.7302/3062,Bee-Plant Interactions in Coffee Agroecosystems: Management and Matrix Effects on Mutualistic and Antagonistic Relationships,2021,Deep Blue (University of Michigan),OPENALEX,Q08;Q09;Q10;Q11;Q12;Q13,https://openalex.org/W4287536459,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000075,10.1038/s41467-024-46841-4,Bee-pollination promotes rapid divergent evolution in plants growing in different soils,2024,Nature Communications,OPENALEX,Q01;Q02;Q05;Q09,https://openalex.org/W4393217760,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000076,10.1111/jen.12059,Bee visit rates vary with floral morphology among highbush blueberry cultivars ( V accinium corymbosum L .),2013,Journal of Applied Entomology,OPENALEX,Q13,https://openalex.org/W2030985145,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000077,10.1101/2025.11.20.689644,"Bees attend primarily to costs, not benefits, to avoid exploitation by floral mimics",2025,bioRxiv (Cold Spring Harbor Laboratory),OPENALEX,Q10;Q11;Q13,https://openalex.org/W4416466100,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000078,10.1111/jen.13471,Beetle Pollination in the Holoparasitic Lophophytum pyramidale (Balanophoraceae): A New Case of Brood‐Pollination Mutualism?,2025,Journal of Applied Entomology,OPENALEX,Q01;Q03;Q12,https://openalex.org/W4412947059,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000079,10.1201/9781420004007-13,Behavioral Responses to Floral Scent: Experimental Manipulations and the Interplay of Sensory Modalities,2006,,OPENALEX,Q01,https://openalex.org/W2502810695,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000080,,Behavioral Responses To Multi-Modal Stimulation: The Organization Of The Foraging Instinct Of Manduca Sexta,2009,eCommons (Cornell University),OPENALEX,Q10;Q11,https://openalex.org/W1771851344,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000081,,Behavioural and ecological dynamics in competitive pollination networks,2015,Univ. Duesseldorf: Duesseldorfer Dokumenten- und Publikationsserver,OPENALEX,Q10,https://openalex.org/W2531418855,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000082,10.1890/08-2278.1,Benefit and cost curves for typical pollination mutualisms,2010,Ecology,OPENALEX,Q04;Q13,https://openalex.org/W2113326727,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000083,10.1086/673245,"Betalain Color Morphs Exhibit Differential Growth, Defensive Ability, and Pollen Tube Growth Rates inMirabilis jalapa(Nyctaginaceae)",2013,International Journal of Plant Sciences,OPENALEX,Q06,https://openalex.org/W2065776166,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000084,10.1111/j.1365-2745.2010.01648.x,"Beyond biomass: measuring the effects of community‐level nitrogen enrichment on floral traits, pollinator visitation and plant reproduction",2010,Journal of Ecology,OPENALEX,Q08;Q09;Q10,https://openalex.org/W2112126415,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000085,10.1007/s10682-011-9509-3,Beyond pollinator attraction: extra-floral displays deter herbivores in a Mediterranean annual plant,2011,Evolutionary Ecology,OPENALEX,Q08,https://openalex.org/W1979158953,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000086,10.5091/plecevo.2017.1321,"Beyond pollinators: evolution of floral architecture with environment across the wild sunflowers (Helianthus, Asteraceae)",2017,Plant Ecology and Evolution,OPENALEX,Q08;Q09;Q12,https://openalex.org/W2736342489,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000087,10.1007/s11829-026-10238-5,"Beyond predator bodyguards: ant attendance at post-floral pericarpial nectaries increases fruit production, improves fruit morphology, and reduces nectar thief visitation in Declieuxia fruticosa (Rubiaceae)",2026,Arthropod-Plant Interactions,OPENALEX,Q12,https://openalex.org/W7140114203,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000088,10.53846/goediss-1858,"Bienen, Wespen und deren Parasitoide in traditionellen Kaffee-Agroforstsystemen: Lebensgemeinschaftsmuster und Ökosystemdienstleistungen",2006,,OPENALEX,Q10,https://openalex.org/W166743876,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000089,10.1104/pp.122.3.627,Biochemical and Molecular Genetic Aspects of Floral Scents,2000,PLANT PHYSIOLOGY,OPENALEX,Q01;Q05,https://openalex.org/W2120056553,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000090,10.3389/fpls.2018.01031,Biochemical Traits in the Flower Lifetime of a Mexican Mistletoe Parasitizing Mesquite Biomass,2018,Frontiers in Plant Science,OPENALEX,Q01,https://openalex.org/W2883440081,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000091,10.1104/pp.104.049981,Biochemistry of Plant Volatiles,2004,PLANT PHYSIOLOGY,OPENALEX,Q01;Q05,https://openalex.org/W2104362138,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000092,10.11606/d.59.2009.tde-05082009-112829,"Biologia larval de Pegoscapus tonduzi (Chalcidoidea: Agaonidae), polinizador de Ficus citrifolia (Moraceae)",2009,,OPENALEX,Q12,https://openalex.org/W1684522067,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
