record_id,fulltext_status,screen_fulltext,screen_fulltext_reason,evidence_lanes,A_trait,A_manipulated,pollinator_response_measured,antagonist_response_measured,common_reproductive_outcome,geographic_contrast,receiver_assemblage_contrast,decision_source,decision_note
SCHPRISMA-000387,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS,herbivore-induced floral signalling state,NO_HERBIVORY_AND_EPIGENETIC_STATE_ARE_UPSTREAM,YES_BUMBLEBEE_ATTRACTIVENESS,NO_HERBIVORE_RESPONSE_TO_DO_FLORAL_A,NO_COMMON_PLANT_REPRODUCTIVE_OUTCOME,NO_REPLICATED_GEOGRAPHIC_CONTRAST,NO_DIRECT_SPATIAL_RECEIVER_REGIME_CONTRAST,SOURCE_VERIFIED_BATCH4_HIGH_INFORMATION_FULLTEXT_V19_2026-09-02,Brassica herbivory/demethylation experiment changes floral signalling and pollinator attractiveness.
SCHPRISMA-000393,AVAILABLE,INCLUDE,,EVOLUTIONARY_OUTCOME,defence and floral-trait plasticity,NO_SELECTION_REGIMES_MANIPULATED_NOT_SINGLE_A,YES_BEE_VS_HAND_POLLINATION_SELECTION_REGIME,YES_HERBIVORY_SELECTION_REGIME,YES_MULTIGENERATION_REPRODUCTIVE_SELECTION,NO_REPLICATED_GEOGRAPHIC_CONTRAST,NO_DIRECT_SPATIAL_RECEIVER_REGIME_CONTRAST,SOURCE_VERIFIED_BATCH4_HIGH_INFORMATION_FULLTEXT_V19_2026-09-02,Evolution Letters experiment evolves defence/floral plasticity under factorial herbivory and pollination regimes.
SCHPRISMA-000394,AVAILABLE,EXCLUDE,FT_NO_POLLINATOR_EVIDENCE,,,,,,,,,SOURCE_VERIFIED_BATCH4_HIGH_INFORMATION_FULLTEXT_V19_2026-09-02,"Herbivory changes floral rewards and pollinator-associated pathogen exposure, but the study does not measure a plant-mutualist pollination/service response to the floral A."
SCHPRISMA-000397,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS,herbivory-induced floral volatile blend,PARTIAL_YES_VOLATILE_ADDITION,YES_OPEN_POLLINATION_AND_VOLATILE_ATTRACTION_EFFECT_ON_FRUIT_SET,NO_HERBIVORE_RESPONSE_TO_ADDED_VOLATILES,YES_FRUIT_SET,NO_REPLICATED_GEOGRAPHIC_CONTRAST,NO_DIRECT_SPATIAL_RECEIVER_REGIME_CONTRAST,SOURCE_VERIFIED_BATCH4_HIGH_INFORMATION_FULLTEXT_V19_2026-09-02,"Silene study links herbivory-induced VOCs to pollinator-attracting function and higher fruit set, including volatile addition."
SCHPRISMA-000398,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS,herbivory-induced olfactory visual floral display and rewards,NO_HERBIVORY_TREATMENT_IS_UPSTREAM,YES_POLLINATOR_BEHAVIOR,NO_HERBIVORE_RESPONSE_TO_DO_FLORAL_A,YES_FRUIT_SET_DEPENDENCE_OR_REPRODUCTIVE_ESTIMATE,NO_REPLICATED_GEOGRAPHIC_CONTRAST,NO_DIRECT_SPATIAL_RECEIVER_REGIME_CONTRAST,SOURCE_VERIFIED_BATCH4_HIGH_INFORMATION_FULLTEXT_V19_2026-09-02,Simulated herbivory alters floral/EFN scent and reward state and bee preference; reproductive dependence is estimated.
SCHPRISMA-000301,AVAILABLE,EXCLUDE,FT_NO_DECLARED_FLORAL_COORDINATE,,,,,,,,,SOURCE_VERIFIED_BATCH4_HIGH_INFORMATION_FULLTEXT_V19_2026-09-02,"Experiment manipulates primary/secondary nectar robbing and measures pollinator visitation and female fitness, but robbing state is the exploiter treatment rather than an independently declared floral attraction/display coordinate A."
SCHPRISMA-000311,AVAILABLE,EXCLUDE,FT_NO_DECLARED_FLORAL_COORDINATE,,,,,,,,,SOURCE_VERIFIED_BATCH4_HIGH_INFORMATION_FULLTEXT_V19_2026-09-02,Descriptive floral/pollination biology records nectar thieves but does not test one floral A against pollinator and antagonist responses.
SCHPRISMA-000313,AVAILABLE,EXCLUDE,FT_NO_ANTAGONIST_EVIDENCE,,,,,,,,,SOURCE_VERIFIED_BATCH4_HIGH_INFORMATION_FULLTEXT_V19_2026-09-02,Dissertation surveys floral biology/visitors across tree species; florivore mention does not resolve a focal antagonist response to the same floral coordinate.
SCHPRISMA-000314,AVAILABLE,EXCLUDE,FT_NO_DECLARED_FLORAL_COORDINATE,,,,,,,,,SOURCE_VERIFIED_BATCH4_HIGH_INFORMATION_FULLTEXT_V19_2026-09-02,Zieria breeding/pollination study includes seed predation context but does not link a declared floral attraction coordinate to both pollinator and antagonist responses.
SCHPRISMA-000315,AVAILABLE,EXCLUDE,FT_REVIEW_ONLY_NO_PRIMARY_ROLE,,,,,,,,,SOURCE_VERIFIED_BATCH4_HIGH_INFORMATION_FULLTEXT_V19_2026-09-02,"Floral Evolution: Breeding Systems, Pollinators, and Beyond is a synthesis/review, retained for source chasing but excluded from independent primary-study counting."
SCHPRISMA-000318,AVAILABLE,EXCLUDE,FT_REVIEW_ONLY_NO_PRIMARY_ROLE,,,,,,,,,SOURCE_VERIFIED_BATCH4_HIGH_INFORMATION_FULLTEXT_V19_2026-09-02,Fifty-year floral-nectar synthesis is useful source-registry material but not an independent primary experiment.
SCHPRISMA-000319,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS,nectar-guide pattern,YES_ARTIFICIAL_FLOWER_GUIDE_MANIPULATION,YES_LEGITIMATE_BUMBLEBEE_VISIT_EFFICIENCY,YES_NECTAR_ROBBING_BEHAVIOR,NO_PLANT_REPRODUCTIVE_OUTCOME,NO_REPLICATED_GEOGRAPHIC_CONTRAST,NO_DIRECT_SPATIAL_RECEIVER_REGIME_CONTRAST,SOURCE_VERIFIED_BATCH4_HIGH_INFORMATION_FULLTEXT_V19_2026-09-02,Artificial-flower experiment shows nectar guides improve legitimate visits and discourage nectar robbing by bumblebees.
SCHPRISMA-000321,AVAILABLE,EXCLUDE,FT_REVIEW_ONLY_NO_PRIMARY_ROLE,,,,,,,,,SOURCE_VERIFIED_BATCH4_HIGH_INFORMATION_FULLTEXT_V19_2026-09-02,Floral phytochemistry article is a broad synthesis of volatile/nectar chemistry effects and is source-registry material rather than an independent primary report.
SCHPRISMA-000326,AVAILABLE,EXCLUDE,FT_REVIEW_ONLY_NO_PRIMARY_ROLE,,,,,,,,,SOURCE_VERIFIED_BATCH4_HIGH_INFORMATION_FULLTEXT_V19_2026-09-02,Whole-plant floral-scent perspective/review synthesizes pollinator and antagonist contexts; exclude from primary study count.
SCHPRISMA-000328,AVAILABLE,EXCLUDE,FT_NO_POLLINATOR_EVIDENCE,,,,,,,,,SOURCE_VERIFIED_BATCH4_HIGH_INFORMATION_FULLTEXT_V19_2026-09-02,"Terpenoid feeding trials directly test a facultative florivore, while pollinator attraction is prior/contextual evidence rather than a pollinator response measured in this study."
SCHPRISMA-000330,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS;EVOLUTIONARY_OUTCOME,corolla tube length and nectar reward traits,NO_OBSERVATIONAL_INDIVIDUAL_VARIATION,YES_LEGITIMATE_VISITATION,YES_NECTAR_ROBBING_PREFERENCE,YES_SEED_PRODUCTION,NO_REPLICATED_GEOGRAPHIC_CONTRAST,NO_DIRECT_SPATIAL_RECEIVER_REGIME_CONTRAST,SOURCE_VERIFIED_BATCH4_HIGH_INFORMATION_FULLTEXT_V19_2026-09-02,"Caryopteris study links corolla/reward variation to robbery, legitimate visitation and seed production; robber exclusion clarifies the cost-benefit mechanism."
SCHPRISMA-000332,AVAILABLE,EXCLUDE,FT_NO_DECLARED_FLORAL_COORDINATE,,,,,,,,,SOURCE_VERIFIED_BATCH4_HIGH_INFORMATION_FULLTEXT_V19_2026-09-02,Impatiens pollination-system study records floral traits and nectar robbers but does not identify one trait coordinate whose variation is tested against both audiences.
SCHPRISMA-000333,AVAILABLE,EXCLUDE,FT_NO_DECLARED_FLORAL_COORDINATE,,,,,,,,,SOURCE_VERIFIED_BATCH4_HIGH_INFORMATION_FULLTEXT_V19_2026-09-02,Dissertation experimentally links nectar to hummingbird behavior and a separate water-filled calyx to herbivore defence; the two receiver channels are on distinct floral traits rather than one shared A.
SCHPRISMA-000335,AVAILABLE,EXCLUDE,FT_NO_DECLARED_FLORAL_COORDINATE,,,,,,,,,SOURCE_VERIFIED_BATCH4_HIGH_INFORMATION_FULLTEXT_V19_2026-09-02,"Drymonia study measures floral traits, visitors, breeding system and natural fruit set and records nectar robbery, but does not test robber and pollinator responses to one declared floral A."
SCHPRISMA-000336,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS,corolla tube and floral reward traits,NO_OBSERVATIONAL_VISITOR_TRAIT_ASSOCIATION,YES_POLLINATOR_VISITOR_ASSEMBLAGE,YES_NECTAR_ROBBING_BEHAVIOR,YES_FRUIT_AND_SEED_REPRODUCTION,NO_REPLICATED_GEOGRAPHIC_CONTRAST,NO_DIRECT_SPATIAL_RECEIVER_REGIME_CONTRAST,SOURCE_VERIFIED_BATCH4_HIGH_INFORMATION_FULLTEXT_V19_2026-09-02,"Sesame study quantifies legitimate visitors, nectar robbing and plant reproductive effects alongside floral traits."
SCHPRISMA-000344,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS,florivory-damaged floral phenotype,YES_ARTIFICIAL_FLORAL_DAMAGE,YES_POLLINATOR_VISITATION_OR_STIGMA_RESPONSE,NO_FLORIVORE_RESPONSE_TO_DO_A,NO_COMMON_PLANT_REPRODUCTIVE_OUTCOME,NO_REGISTERED_GEOGRAPHIC_RECEIVER_REGIME_CONTRAST,NO_REGISTERED_GEOGRAPHIC_RECEIVER_REGIME_CONTRAST,SOURCE_VERIFIED_BATCH4_HIGH_INFORMATION_FULLTEXT_V19_2026-09-02,Study combines observations across eight sites with artificial floral damage; damage effects on pollination are weak/null and do not form a strict shared-cue test.
SCHPRISMA-000345,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS,florivory-altered floral display and attractiveness,NO_FLORIVORY_IS_UPSTREAM_DAMAGE,YES_POLLINATOR_ATTRACTION,NO_FLORIVORE_RESPONSE_TO_DO_FLORAL_A,YES_REPRODUCTIVE_OUTPUT,NO_REPLICATED_GEOGRAPHIC_CONTRAST,NO_DIRECT_SPATIAL_RECEIVER_REGIME_CONTRAST,SOURCE_VERIFIED_BATCH4_HIGH_INFORMATION_FULLTEXT_V19_2026-09-02,Florivory indirectly reduces reproductive output through changes in pollinator attraction.
SCHPRISMA-000346,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS,florivory-altered flower traits and floral interaction state,YES_FLORIVORY_MANIPULATION,YES_POLLINATOR_INTERACTION_RESPONSE,NO_FLORIVORE_RESPONSE_TO_RESULTING_A,YES_REPRODUCTIVE_OR_MATING_OUTCOME,NO_REPLICATED_GEOGRAPHIC_CONTRAST,NO_DIRECT_SPATIAL_RECEIVER_REGIME_CONTRAST,SOURCE_VERIFIED_BATCH4_HIGH_INFORMATION_FULLTEXT_V19_2026-09-02,Florivory manipulation shapes floral interactions and mating/reproductive outcomes; retained as induced-state near-pass.
SCHPRISMA-000348,AVAILABLE,EXCLUDE,FT_NO_POLLINATOR_EVIDENCE,,,,,,,,,SOURCE_VERIFIED_BATCH4_HIGH_INFORMATION_FULLTEXT_V19_2026-09-02,Tanacetum chemotype study measures floral chemistry and florivore behavior/abundance; pollinator function is framing and was not measured in the current study.
SCHPRISMA-000352,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS,individual and plot-level floral chemodiversity,NO_OBSERVATIONAL_OR_PLOT_COMPOSITION_VARIATION,YES_POLLINATOR_VISITOR_GROUP_RESPONSE,YES_FLORIVORE_VISITOR_GROUP_RESPONSE,YES_GERMINATION_OR_PLANT_FITNESS_CONSEQUENCE,NO_REPLICATED_GEOGRAPHIC_CONTRAST,NO_DIRECT_SPATIAL_RECEIVER_REGIME_CONTRAST,SOURCE_VERIFIED_BATCH4_HIGH_INFORMATION_FULLTEXT_V19_2026-09-02,Chemodiversity study compares visitor groups including pollinators/florivores and plant fitness consequences; frozen preprint now has a final publication.
SCHPRISMA-000354,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS,robbery-damaged versus undamaged flower state,NO_NATURAL_ROBBERY_DAMAGE_CLASSES,YES_HUMMINGBIRD_POLLINATION_AND_POLLEN_DEPOSITION,YES_NECTAR_ROBBING_VISITS,YES_POLLEN_LOAD_AS_REPRODUCTIVE_PROXY,NO_REPLICATED_GEOGRAPHIC_CONTRAST,NO_DIRECT_SPATIAL_RECEIVER_REGIME_CONTRAST,SOURCE_VERIFIED_BATCH4_HIGH_INFORMATION_FULLTEXT_V19_2026-09-02,"Cleistocactus study records hummingbird pollination, nectar robbery and reduced stigma pollen loads in robbed/damaged flowers."
SCHPRISMA-000376,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS;EVOLUTIONARY_OUTCOME,floral exsertion and lower-lip size,NO_OBSERVATIONAL_SELECTION,YES_POLLEN_LOAD_AND_POLLINATION_COMPONENT,YES_SEED_PREDATION_COMPONENT,YES_FINAL_SEED_PRODUCTION,FOURTEEN_POPULATION_GEOGRAPHIC_SELECTION_CONTRAST,POLLINATION_AND_SEED_PREDATION_COMPONENTS_VARY_AMONG_POPULATIONS,SOURCE_VERIFIED_BATCH4_HIGH_INFORMATION_FULLTEXT_V19_2026-09-02,"Pedicularis study quantifies pollen loads, seed set, seed predation and final seed production across 14 populations."
SCHPRISMA-000379,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS;EVOLUTIONARY_OUTCOME,flower size,NO_OBSERVATIONAL_GEOGRAPHIC_TRAIT_VARIATION,YES_FLOWER_VISITOR_COMPOSITION,YES_NECTAR_ROBBING_VISITOR_ROLE,NO_COMMON_PLANT_REPRODUCTIVE_OUTCOME,MULTIPOPULATION_FLOWER_SIZE_CONTRAST,LOCAL_FLOWER_VISITOR_AND_NECTAR_ROBBER_COMPOSITION_DIFFERS,SOURCE_VERIFIED_BATCH4_HIGH_INFORMATION_FULLTEXT_V19_2026-09-02,Lamium and Meehania populations differ in flower size and visitor fauna; a nectar-robbing bee dominates the uniquely small-flowered Meehania population.
SCHPRISMA-000380,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS;EVOLUTIONARY_OUTCOME,floral attractive and defensive trait bundle,NO_COMMON_GARDEN_GENOTYPE_TRAIT_VARIATION,YES_POLLINATOR_ATTRACTION,YES_NECTAR_ROBBING,YES_FEMALE_AND_ESTIMATED_MALE_REPRODUCTION,NORTH_VS_SOUTH_GEORGIA_COMMON_GARDEN_CONTRAST,NECTAR_ROBBING_AND_POLLINATOR_ATTRACTION_REGIMES_DIFFER,SOURCE_VERIFIED_BATCH4_HIGH_INFORMATION_FULLTEXT_V19_2026-09-02,Gelsemium common gardens show northern genotypes resist robbery but receive fewer pollinator visits and have lower reproduction.
SCHPRISMA-000383,AVAILABLE,EXCLUDE,FT_NO_POLLINATOR_EVIDENCE,,,,,,,,,SOURCE_VERIFIED_BATCH4_HIGH_INFORMATION_FULLTEXT_V19_2026-09-02,"Rhododendron study characterizes grayanotoxin distributions and tissue correlations; pollinator–herbivore trade-offs are inferred, with no pollinator or herbivore behavioral response measured."
SCHPRISMA-000388,AVAILABLE,EXCLUDE,FT_NO_POLLINATOR_EVIDENCE,,,,,,,,,SOURCE_VERIFIED_BATCH4_HIGH_INFORMATION_FULLTEXT_V19_2026-09-02,Primrose study quantifies herbivore-mediated selection on floral display across antagonist-intensity populations but does not measure a focal pollinator response/selection channel in the current study.
SCHPRISMA-000389,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS;EVOLUTIONARY_OUTCOME,floral morphology reward and resistance-associated traits,NO_OBSERVATIONAL_TRAIT_CORRELATIONS,YES_POLLINATOR_OR_LEGITIMATE_VISITOR_RESPONSE,YES_NECTAR_ROBBING_AND_HERBIVORE_RESISTANCE_CONTEXT,YES_REPRODUCTIVE_OR_POLLINATION_SUCCESS_COMPONENTS,NO_REPLICATED_GEOGRAPHIC_CONTRAST,NO_DIRECT_SPATIAL_RECEIVER_REGIME_CONTRAST,SOURCE_VERIFIED_BATCH4_HIGH_INFORMATION_FULLTEXT_V19_2026-09-02,Gelsemium study tests correlations among resistance/pollination traits and their associations with legitimate visitors and nectar robbing; cluster with later Gelsemium program before synthesis.
SCHPRISMA-000390,AVAILABLE,EXCLUDE,FT_NO_POLLINATOR_EVIDENCE,,,,,,,,,SOURCE_VERIFIED_BATCH4_HIGH_INFORMATION_FULLTEXT_V19_2026-09-02,Horsenettle study tests herbivore effects on selection for floral-sex ratio; pollination motivates the trait but a focal pollinator response/selection channel is not measured.
SCHPRISMA-000391,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS;EVOLUTIONARY_OUTCOME,plant reproductive traits including floral display,NO_OBSERVATIONAL_TRAITS_WITH_FACTORIAL_CONTEXT,YES_POLLINATION_OR_HAND_POLLINATION_SELECTION_COMPONENT,YES_HERBIVORY_AND_DEFENCE_SELECTION_COMPONENT,YES_REPRODUCTIVE_FITNESS,NO_REPLICATED_GEOGRAPHIC_CONTRAST,NO_DIRECT_SPATIAL_RECEIVER_REGIME_CONTRAST,SOURCE_VERIFIED_BATCH4_HIGH_INFORMATION_FULLTEXT_V19_2026-09-02,White clover factorial herbivore suppression × hand pollination shows herbivores and defences affect selection on reproductive traits more strongly than pollinators.
SCHPRISMA-000392,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS,herbivory-induced floral volatile and signal state,NO_HERBIVORY_IS_UPSTREAM,YES_POLLINATOR_ATTRACTION,NO_HERBIVORE_RESPONSE_TO_DO_FLORAL_A,YES_SEED_PRODUCTION,NO_REPLICATED_GEOGRAPHIC_CONTRAST,NO_DIRECT_SPATIAL_RECEIVER_REGIME_CONTRAST,SOURCE_VERIFIED_BATCH4_HIGH_INFORMATION_FULLTEXT_V19_2026-09-02,"Herbivory changes floral VOCs, pollinator attraction, parasitoid attraction and seed production; herbivore itself is upstream."
SCHPRISMA-000395,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS,aphid-induced floral volatile emission state,NO_APHID_HERBIVORY_IS_UPSTREAM,YES_FIELD_POLLINATOR_VISITS,NO_HERBIVORE_RESPONSE_TO_DO_FLORAL_A,NO_COMMON_PLANT_REPRODUCTIVE_OUTCOME,NO_REPLICATED_GEOGRAPHIC_CONTRAST,NO_DIRECT_SPATIAL_RECEIVER_REGIME_CONTRAST,SOURCE_VERIFIED_BATCH4_HIGH_INFORMATION_FULLTEXT_V19_2026-09-02,Phloem-feeding herbivory inhibits floral volatile production; field pollinator visitation is measured but plant reproductive outcome is absent.
