record_id,fulltext_status,screen_fulltext,screen_fulltext_reason,evidence_lanes,A_trait,A_manipulated,pollinator_response_measured,antagonist_response_measured,common_reproductive_outcome,selection_form,cue_architecture,evolutionary_level,causal_strength,claim_ceiling,study_region,country_or_ocean_basin,spatial_grain,spatial_extent,single_site_vs_multisite,geographic_contrast,receiver_assemblage_contrast,biogeographic_context,historical_or_phylogenetic_context,decision_source,decision_note
SCHPRISMA-000047,AVAILABLE,INCLUDE,,EVOLUTIONARY_OUTCOME,chasmogamous flower size and mixed-mating allocation,NO_HERBIVORY_MANIPULATED_UPSTREAM,YES_POLLINATOR_VISITATION_TO_CH_FLOWERS,YES_VEGETATIVE_HERBIVORY,YES_MATING_SYSTEM_AND_DEMOGRAPHIC_COMPONENTS,HERBIVORY_SHIFTS_MATING_STRATEGY,BROADER_FLORAL_MATING_SYSTEM_RESPONSE,within_population,EXPERIMENTAL_BROADER_EVOLUTIONARY_MECHANISM,"Herbivory reduces chasmogamous flower size/visitation and shifts allocation toward selfing; this is broader evolutionary-conflict evidence, not a shared floral cue experiment",NOT_REPORTED,NOT_REPORTED,field_or_common_garden_experiments,NOT_REPORTED,NOT_REPORTED,NO_REPLICATED_GEOGRAPHIC_CONTRAST,NO_DIRECT_SPATIAL_RECEIVER_REGIME_CONTRAST,NOT_REPORTED,NO_SHARED_CUE_TRANSITION,SOURCE_VERIFIED_MEDIUM_FULLTEXT_2026-08-30,Dissertation contributes primary experimental evidence that antagonism changes floral mating-system expression and pollinator visitation.
SCHPRISMA-000048,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS,yellow anther-mimic petal-apex visual signal,YES_PAINT_AND_EXCISION_COLOR_MANIPULATION,YES_POLLEN_TRANSFER_AND_FRUIT_SET,YES_SAME_BEETLE_FLORIVORY_ASSOCIATION_BUT_NOT_RESPONSE_TO_DO_A,YES_FRUIT_SET_FOR_COLOR_MANIPULATION,ASSOCIATIONAL_DUAL_ROLE_CONFLICT,ONE_VISUAL_COORDINATE_USED_IN_DUAL_ROLE_SYSTEM,within_experiment,MANIPULATED_POLLINATION_SIDE_ASSOCIATIONAL_FLORIVORY,"Color manipulation directly changes pollination success, and the same pollen-feeding beetle also chews the signal-bearing petal apices; florivory was not independently tested as a response to the color manipulation, so strict four-field status is not licensed",South_Africa,NOT_REPORTED,individual_flowers,NOT_REPORTED,SINGLE_SITE,NO_REPLICATED_GEOGRAPHIC_CONTRAST,NO_DIRECT_SPATIAL_RECEIVER_REGIME_CONTRAST,NOT_REPORTED,DUAL_ROLE_SYSTEM_NO_HISTORICAL_TRANSITION,SOURCE_VERIFIED_MEDIUM_FULLTEXT_2026-08-30,"Disa is intentionally classified near-pass rather than strict: do(A) -> pollination/fruit set is direct, but do(A) -> florivory is not separately estimated."
SCHPRISMA-000049,AVAILABLE,INCLUDE,,EVOLUTIONARY_OUTCOME,floral traits under herbivory-and-defence-dependent selection,NO_OBSERVATIONAL_FLORAL_TRAITS_IN_COMMON_GARDEN,NO_DIRECT_POLLINATOR_RESPONSE_MEASURE,YES_HERBIVORY_AND_CYANOGENIC_DEFENCE,YES_MALE_AND_FEMALE_FITNESS_SELECTION,CONTEXT_DEPENDENT_SELECTION,BROADER_DEFENCE_FLORAL_SELECTION,within_population,COMMON_GARDEN_SELECTION_ANALYSIS,"Herbivory and cyanogenic defence alter selection on floral/reproductive traits; pollinator mediation is discussed rather than directly measured, so this is bounded broader evolutionary evidence",NOT_REPORTED,NOT_REPORTED,common_garden,185_clonal_families,SINGLE_SITE,NO_REPLICATED_GEOGRAPHIC_CONTRAST,NO_DIRECT_SPATIAL_RECEIVER_REGIME_CONTRAST,NOT_REPORTED,NO_SHARED_CUE_TRANSITION,SOURCE_VERIFIED_MEDIUM_FULLTEXT_2026-08-30,Included only in the evolutionary-outcome lane; absence of direct pollinator measurement blocks linked-cue claims.
SCHPRISMA-000050,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS,flower morphology governing ant visit role,NO_OBSERVATIONAL_CROP_MORPHOLOGY,YES_LEGITIMATE_VISITS_POLLEN_LOADS_AND_GERMINATION_EFFECTS,YES_NECTAR_THIEF_ROLE_BY_SAME_ANTS,NO_PLANT_REPRODUCTIVE_OUTCOME,ROLE_SWITCHING_BY_FLOWER_ARCHITECTURE,LEGITIMATE_VS_THIEF_VISITOR_STATE,among_crops,DIRECT_ROLE_DEPENDENT_VISITOR_BEHAVIOR,Ants act as legitimate visitors on small/open flowers and mainly nectar thieves on larger flowers; no manipulated A or plant reproductive outcome,NW_Patagonia,Argentina,orchards,25_agroecological_orchards,MULTISITE,CROP_AND_ORCHARD_COMPARISON,ANT_ROLE_VARIES_WITH_CROP_FLORAL_ARCHITECTURE,AGROECOLOGICAL_CROP_CONTEXT,NO_HISTORICAL_TRANSITION,SOURCE_VERIFIED_MEDIUM_FULLTEXT_2026-08-30,"Retained as a direct role-switching near-pass, not as a strict common-fitness experiment."
SCHPRISMA-000053,AVAILABLE,EXCLUDE,FT_NO_ANTAGONIST_EVIDENCE,,,,,,,,,,,,,,,,,,,,,SOURCE_VERIFIED_MEDIUM_FULLTEXT_2026-08-30,Arctic mustard paper resolves biochemical/genetic flower-colour polymorphism and geography but does not measure a focal antagonist response to colour in the study.
SCHPRISMA-000057,AVAILABLE,EXCLUDE,FT_REVIEW_ONLY_NO_PRIMARY_ROLE,,,,,,,,,,,,,,,,,,,,,SOURCE_VERIFIED_MEDIUM_FULLTEXT_2026-08-30,"Ecology Letters Review and Synthesis on floral traits and pathogen transmission is secondary evidence, not an independent primary-study record."
SCHPRISMA-000067,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS;EVOLUTIONARY_OUTCOME,globelike floral morphology in nursery-pollination system,NO_EXTANT_MORPHOLOGY_NOT_MANIPULATED,YES_CHIASTOCHETA_AND_OTHER_POLLEN_CARRYING_VISITORS,YES_CHIASTOCHETA_LARVAL_SEED_PREDATION,YES_SEED_SET_NET_SEED_SET_AND_OFFSPRING_FITNESS,CONDITIONAL_MUTUALISM_ANTAGONISM,DUAL_ROLE_NURSERY_POLLINATION_ARCHITECTURE,populations,COMPARATIVE_POPULATION_LOSS_OF_PARTNER,"Populations with versus without Chiastocheta show that pollination benefit and larval seed cost are context dependent; globelike morphology is an inferred historical target, not a reconstructed or manipulated cue transition",NOT_REPORTED,NOT_REPORTED,populations,isolated_populations,MULTISITE,CHIASTOCHETA_PRESENT_VS_ABSENT_POPULATIONS,CHIASTOCHETA_PRESENT_VS_EXTINCT_OR_ABSENT,NURSERY_POLLINATION_PARTNER_LOSS,EVOLUTIONARY_COMPENSATION_HYPOTHESIS_NO_ANCESTRAL_RECONSTRUCTION,SOURCE_VERIFIED_MEDIUM_FULLTEXT_2026-08-30,Primary population comparison supplies a strong geographic/interaction-regime outcome but does not identify a randomized shared floral coordinate.
SCHPRISMA-000074,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS,floral traits associated with nectar-robbing intensity,PARTIAL_FIELD_MANIPULATIONS_NOT_SINGLE_DO_A,YES_MUTUALISTIC_BEE_PLANT_CHAPTERS,YES_NECTAR_ROBBER_FORAGING_AND_ROBBERY,YES_FRUIT_SET_COST_IN_NECTAR_ROBBERY_CHAPTER,ENVIRONMENT_DEPENDENT_INTERACTION_OUTCOME,FLORAL_TRAIT_AND_NEIGHBORHOOD_MEDIATED_ROBBERY,habitats,PRIMARY_DISSERTATION_DATA_WITH_PUBLISHED_CHAPTER_OVERLAP,Coffee-field versus forest-fragment context changes floral traits/robber behavior and fruit-set cost; chapter overlap with Fitch & Vandermeer 2021 must be clustered before any quantitative synthesis,coffee_agroecosystem_and_forest_fragments,NOT_REPORTED,habitats,anthropogenic_vs_seminatural_habitats,MULTISITE,COFFEE_FIELDS_VS_FOREST_FRAGMENTS,NECTAR_ROBBER_INTERACTION_INTENSITY_AND_FORAGING_BEHAVIOR_CONTRAST,AGROFOREST_LAND_USE_CONTRAST,NO_HISTORICAL_TRANSITION_DATASET_OVERLAP_PENDING,SOURCE_VERIFIED_MEDIUM_FULLTEXT_2026-08-30,Included provisionally as a primary dissertation record because it contains relevant primary chapters; independence coding must cluster the published chapter rather than count it twice.
SCHPRISMA-000075,AVAILABLE,INCLUDE,,EVOLUTIONARY_OUTCOME,multitrait floral-attraction and defence phenotype,NO_SINGLE_A_EIGHT_GENERATION_SELECTION_REGIMES,YES_BUMBLEBEE_POLLINATION_AND_CHOICE_ASSAYS,YES_APHID_HERBIVORY_AND_PREFERENCE_ASSAYS,YES_SEED_PRODUCTION_DRIVES_SELECTION,EXPERIMENTAL_DIVERGENT_EVOLUTION,BROADER_MULTITRAIT_EVOLVED_PHENOTYPE,experimental_evolution_lines,DIRECT_MULTIGENERATION_EVOLUTION,Eight-generation soil x bee-pollination x aphid-herbivory experiment shows divergent evolution and interactor-dependent trajectories; it is broader conflict evidence rather than a one-coordinate shared-cue transition,controlled_experimental_lines,NOT_REPORTED,experimental_lines,eight_factorial_treatments_with_two_replicates,NOT_GEOGRAPHIC,EXPERIMENTAL_TREATMENT_NOT_GEOGRAPHIC,BEE_AND_APHID_SELECTION_REGIMES,EXPERIMENTAL_EVOLUTION,NO_ANCESTRAL_SHARED_CUE_RECONSTRUCTION,SOURCE_VERIFIED_MEDIUM_FULLTEXT_2026-08-30,Strong direct evolutionary-outcome evidence; kept outside strict shared-cue count because no single focal A coordinate is identified.
SCHPRISMA-000076,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS,corolla morphology among blueberry cultivars,NO_OBSERVATIONAL_CULTIVAR_TRAITS,YES_LEGITIMATE_HONEYBEE_AND_BUMBLEBEE_VISITS,YES_HONEYBEE_NECTAR_ROBBING,YES_CROP_YIELD_ASSOCIATION,ROLE_DEPENDENT_VISITATION,FLORAL_MORPHOLOGY_SWITCHES_LEGITIMATE_VS_ROBBING_BEHAVIOR,among_cultivars,OBSERVATIONAL_ROLE_DEPENDENT_FLORAL_TRAIT,Corolla morphology predicts legitimate versus robbing honey-bee behavior and yield across cultivars; no randomized floral-trait intervention,NOT_REPORTED,NOT_REPORTED,cultivars,four_highbush_blueberry_cultivars,SINGLE_SITE_OR_GROWER_CONTEXT,NO_REPLICATED_GEOGRAPHIC_RECEIVER_REGIME_CONTRAST,NO_SPATIAL_RECEIVER_REGIME_CONTRAST,CROP_CULTIVAR_COMPARISON,NO_HISTORICAL_TRANSITION,SOURCE_VERIFIED_MEDIUM_FULLTEXT_2026-08-30,Useful direct role-dependent floral morphology near-pass; observational cultivar contrast blocks do(A) inference.
SCHPRISMA-000079,AVAILABLE,EXCLUDE,FT_REVIEW_ONLY_NO_PRIMARY_ROLE,,,,,,,,,,,,,,,,,,,,,SOURCE_VERIFIED_MEDIUM_FULLTEXT_2026-08-30,Book chapter synthesizes floral-scent behavioral manipulations and is retained only as secondary/source-recovery material.
SCHPRISMA-000081,AVAILABLE,EXCLUDE,FT_NO_ANTAGONIST_EVIDENCE,,,,,,,,,,,,,,,,,,,,,SOURCE_VERIFIED_MEDIUM_FULLTEXT_2026-08-30,Dissertation concerns competition and behavioral/ecological dynamics among flower visitors with differing pollination efficiency; it does not establish a focal plant antagonist/exploiter response to one floral signal.
SCHPRISMA-000082,AVAILABLE,EXCLUDE,FT_REVIEW_ONLY_NO_PRIMARY_ROLE,,,,,,,,,,,,,,,,,,,,,SOURCE_VERIFIED_MEDIUM_FULLTEXT_2026-08-30,Ecology Concepts and Synthesis article fits benefit/cost curves to previously collected pollination systems but is treated as secondary synthesis for the primary-study count.
SCHPRISMA-000088,AVAILABLE,EXCLUDE,FT_NO_DECLARED_FLORAL_COORDINATE,,,,,,,,,,,,,,,,,,,,,SOURCE_VERIFIED_MEDIUM_FULLTEXT_2026-08-30,"Coffee-agroforestry dissertation addresses bee/wasp/parasitoid community patterns and ecosystem services, but no focal floral attraction/display coordinate links the audiences for SCH admission."
SCHPRISMA-000089,AVAILABLE,EXCLUDE,FT_REVIEW_ONLY_NO_PRIMARY_ROLE,,,,,,,,,,,,,,,,,,,,,SOURCE_VERIFIED_MEDIUM_FULLTEXT_2026-08-30,Biochemical and molecular genetic review of floral scents is secondary source material and not an independent primary experiment.
