record_id,fulltext_status,screen_fulltext,screen_fulltext_reason,evidence_lanes,A_trait,A_manipulated,pollinator_response_measured,antagonist_response_measured,common_reproductive_outcome,selection_form,cue_architecture,evolutionary_level,causal_strength,claim_ceiling,study_region,geographic_contrast,receiver_assemblage_contrast,historical_or_phylogenetic_context,decision_source,decision_note
SCHPRISMA-000202,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS,floral display and reproductive effort under edge-gap context,NO_OBSERVATIONAL_SPATIAL_CONTEXT,YES_HUMMINGBIRD_POLLINATION_CHANNEL,YES_NECTAR_ROBBING_RATE,YES_FRUIT_SET_AND_TOTAL_FRUIT_CROP,SPATIAL_CONTEXT_MEDIATED_MUTUALIST_ANTAGONIST_BALANCE,display_reward_context,ecological_spatial_context,OBSERVATIONAL_MULTI_FRAGMENT_COMPARISON,Spatial context links display/reproduction to pollination and nectar robbery but does not randomize floral A,Chile,FOREST_EDGE_VS_ANTHROPOGENIC_GAP_CONTRAST,NECTAR_ROBBING_AND_POLLINATION_REGIME_DIFFERS_BY_PATCH,NO_ANCESTRAL_CUE_RECONSTRUCTION,SOURCE_VERIFIED_BATCH3_REMAINDER_FULLTEXT_V17_2026-08-31,Austral Ecology source compares edges and anthropogenic gaps; flowers are hummingbird-pollinated and bumblebee-robbed and robbery reduces fruit set.
SCHPRISMA-000227,AVAILABLE,EXCLUDE,FT_NO_ANTAGONIST_EVIDENCE,,,,,,,,,,,,,,,,,SOURCE_VERIFIED_BATCH3_REMAINDER_FULLTEXT_V17_2026-08-31,Phylogeographic floral-scent variation is informative for trait history but the frozen report does not supply a focal antagonist receiver response or conflict attribution.
SCHPRISMA-000230,AVAILABLE,INCLUDE,,EVOLUTIONARY_OUTCOME;HISTORICAL_TRANSITION,floral fragrance flower size and display,NO_COMMON_GARDEN_POPULATION_COMPARISON,NO_DIRECT_CURRENT_RECEIVER_RESPONSE,NO_DIRECT_CURRENT_RECEIVER_RESPONSE,NO_COMMON_MANIPULATED_FITNESS_SURFACE,MATING_SYSTEM_TRANSITION_WITH_CUE_VESTIGIALIZATION,floral_attraction_syndrome,among_populations,FIELD_SURVEY_PLUS_COMMON_GARDEN,Outcrossing-to-selfing transition is associated with about 99 percent fragrance reduction but is not shared-cue to private-cue evolution,Pacific_coast_North_America,OUTCROSSING_VS_SELFING_POPULATION_GROUPS,NO_DIRECT_SPATIAL_RECEIVER_REGIME_CONTRAST,OUTCROSSING_TO_SELFING_TRANSITION_NOT_SHARED_TO_PRIVATE_CUE,SOURCE_VERIFIED_BATCH3_REMAINDER_FULLTEXT_V17_2026-08-31,Abronia field/common-garden study shows genetic differentiation and dramatic fragrance vestigialization after the mating-system transition.
SCHPRISMA-000231,AVAILABLE,EXCLUDE,FT_NO_ANTAGONIST_EVIDENCE,,,,,,,,,,,,,,,,,SOURCE_VERIFIED_BATCH3_REMAINDER_FULLTEXT_V17_2026-08-31,Drought manipulation measures floral-trait plasticity in an animal-pollinated plant but no focal herbivore/antagonist response is measured.
SCHPRISMA-000233,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS;EVOLUTIONARY_OUTCOME,floral odor blend,NO_COMPARATIVE_ELEVATION_SPECIES_PANEL,YES_FLORAL_VISITOR_OLFACTORY_PREFERENCE,YES_SEED_PREDATION,YES_FERTILIZED_VS_PREDATED_SEED_OUTCOMES,ELEVATIONAL_CUE_AND_COST_BENEFIT_MOSAIC,floral_volatile_blend,among_species_and_elevations,COMPARATIVE_CHEMISTRY_BIOASSAY_AND_REPRODUCTIVE_OUTCOME,Floral odors and pollination-seed-predation outcomes converge by elevation but A is not randomized,Central_Chile_Andes,ELEVATION_BAND_CONTRAST,POLLINATOR_AND_SEED_PREDATOR_OUTCOMES_VARY_WITH_ELEVATION,COMPARATIVE_DIVERGENCE_NO_ANCESTRAL_CUE_RECONSTRUCTION,SOURCE_VERIFIED_BATCH3_REMAINDER_FULLTEXT_V17_2026-08-31,Haplopappus source combines floral VOCs insect olfactory bioassay fertilized seeds and predated seeds along an Andean elevation gradient.
SCHPRISMA-000235,AVAILABLE,EXCLUDE,FT_NO_DECLARED_FLORAL_COORDINATE,,,,,,,,,,,,,,,,,SOURCE_VERIFIED_BATCH3_REMAINDER_FULLTEXT_V17_2026-08-31,Multi-state palm-squirrel natural-history synthesis classifies nectar robbing/flower predation/visitation but does not test a declared floral trait coordinate.
SCHPRISMA-000236,AVAILABLE,EXCLUDE,FT_REVIEW_ONLY_NO_PRIMARY_ROLE,,,,,,,,,,,,,,,,,SOURCE_VERIFIED_BATCH3_REMAINDER_FULLTEXT_V17_2026-08-31,New Phytologist article is a review/synthesis of floral volatile information transfer and is retained only for source chasing.
SCHPRISMA-000238,AVAILABLE,EXCLUDE,FT_NO_DECLARED_FLORAL_COORDINATE,,,,,,,,,,,,,,,,,SOURCE_VERIFIED_BATCH3_REMAINDER_FULLTEXT_V17_2026-08-31,Agricultural-landscape dissertation integrates pollinators pests and natural enemies but the focal drivers are landscape/community processes rather than one floral attraction coordinate.
SCHPRISMA-000242,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS,floral symmetry and display in ant context,NO_MULTI_EXPERIMENT_THESIS,YES_FLORAL_VISITOR_BEHAVIOR,YES_ANT_DENSITY_CONTEXT_NOT_RESPONSE_TO_A,YES_REPRODUCTIVE_PLANT_FITNESS,CONTEXT_DEPENDENT_VISITOR_AND_ANT_EFFECTS,floral_symmetry_with_ant_context,within_species,THESIS_FIELD_EXPERIMENTS,Floral visitor behavior and fitness depend on ant density but ants are not shown responding to the same manipulated floral A,Brazil,NO_REPLICATED_GEOGRAPHIC_CONTRAST,ANT_DENSITY_INTERACTION_CONTEXT,NO_HISTORICAL_RECONSTRUCTION,SOURCE_VERIFIED_BATCH3_REMAINDER_FULLTEXT_V17_2026-08-31,Open thesis tests floral asymmetry and ant-plant effects on floral visitors and reports ant-density-dependent reproductive fitness.
SCHPRISMA-000246,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS,floral fragrance,NO_OBSERVATIONAL_FRAGRANCE_ATTRACTION,YES_POLLINATOR_VISITS_DISRUPTED_BY_ANTS,YES_WEAVER_ANTS_ATTRACTED_TO_FRAGRANT_FLOWERS,YES_FRUIT_SET,OBSERVATIONAL_SHARED_EXPOSURE_CHAIN,fragrance_shared_with_ant_exposure,within_population,OBSERVATIONAL_CAUSAL_CHAIN,Fragrance-associated ant attraction predicts pollinator disruption and reduced fruit set but fragrance itself is not randomized,India,NO_REPLICATED_GEOGRAPHIC_CONTRAST,NO_DIRECT_SPATIAL_RECEIVER_REGIME_CONTRAST,NO_HISTORICAL_RECONSTRUCTION,SOURCE_VERIFIED_BATCH3_REMAINDER_FULLTEXT_V17_2026-08-31,Artabotrys source links floral volatiles to weaver-ant attraction and reports ant interference with pollinator visits and lower fruit set.
SCHPRISMA-000247,AVAILABLE,EXCLUDE,FT_NO_DECLARED_FLORAL_COORDINATE,,,,,,,,,,,,,,,,,SOURCE_VERIFIED_BATCH3_REMAINDER_FULLTEXT_V17_2026-08-31,Protea neighbourhood study integrates pollinator- and seed-predator-mediated fecundity but the focal coordinate is neighbourhood/community structure rather than a floral A.
SCHPRISMA-000248,AVAILABLE,EXCLUDE,FT_NO_ANTAGONIST_EVIDENCE,,,,,,,,,,,,,,,,,SOURCE_VERIFIED_BATCH3_REMAINDER_FULLTEXT_V17_2026-08-31,Climate/phenology study measures frost-driven flower abundance; consequences for pollinators herbivores and seed predators are discussed rather than measured as focal receiver responses.
SCHPRISMA-000250,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS,warming-induced floral scent display and rewards,NO_WARMING_ANTECEDENT_NOT_DIRECT_DO_A,NO_DIRECT_POLLINATOR_BEHAVIOR_MEASURED,YES_SEED_PREDATOR_OVIPOSITION,NO_COMMON_PLANT_REPRODUCTIVE_OUTCOME,ABIOTIC_INDUCTION_OF_SHARED_FLORAL_PHENOTYPE,warming_sensitive_floral_trait_bundle,among_species_sites_years,FIELD_WARMING_EXPERIMENT,Warming changes floral traits and sharply reduces seed-predator oviposition but pollinator attraction is inferred rather than measured,Colorado_USA,NO_REGISTERED_GEOGRAPHIC_RECEIVER_REGIME_CONTRAST,NO_DIRECT_SPATIAL_RECEIVER_REGIME_CONTRAST,NO_HISTORICAL_RECONSTRUCTION,SOURCE_VERIFIED_BATCH3_REMAINDER_FULLTEXT_V17_2026-08-31,Ipomopsis warming experiment measures floral VOCs display rewards and fly seed-predator oviposition across sites and years.
SCHPRISMA-000257,AVAILABLE,EXCLUDE,FT_NO_DECLARED_FLORAL_COORDINATE,,,,,,,,,,,,,,,,,SOURCE_VERIFIED_BATCH3_REMAINDER_FULLTEXT_V17_2026-08-31,Chilopsis study uses nectar robbing itself as the exposure and does not identify an independent floral attraction/display coordinate A.
SCHPRISMA-000260,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS,virus-induced floral VOC colour and reward state,NO_VIRUS_ANTECEDENT_NOT_DIRECT_DO_A,YES_BUMBLEBEE_OLFACTORY_AND_POLLINATION_RESPONSE,NO_VIRUS_IS_ANTECEDENT_NOT_RECEIVER_RESPONSE_TO_A,YES_SEED_PRODUCTION,INDUCED_STATE_TO_CUE_TO_POLLINATOR_FITNESS,induced_floral_signal_bundle,within_experiment,PATHOGEN_MANIPULATION_PLUS_POLLINATOR_ASSAYS,Virus-induced floral changes improve pollinator attraction and seed recovery but do not show an antagonist receiver reading the same A,United_Kingdom,NO_REPLICATED_GEOGRAPHIC_CONTRAST,NO_DIRECT_SPATIAL_RECEIVER_REGIME_CONTRAST,NO_HISTORICAL_RECONSTRUCTION,SOURCE_VERIFIED_BATCH3_REMAINDER_FULLTEXT_V17_2026-08-31,Cambridge thesis manipulates virus infection and measures VOC/color/reward changes bee behavior pollination and seed production.
SCHPRISMA-000263,AVAILABLE,EXCLUDE,FT_NO_POLLINATOR_EVIDENCE,,,,,,,,,,,,,,,,,SOURCE_VERIFIED_BATCH3_REMAINDER_FULLTEXT_V17_2026-08-31,Juniperus study combines wind-pollination efficiency and predispersal seed predators; it lacks an animal pollinator mutualist receiver for the SCH shared-audience question.
SCHPRISMA-000264,AVAILABLE,EXCLUDE,FT_REVIEW_ONLY_NO_PRIMARY_ROLE,,,,,,,,,,,,,,,,,SOURCE_VERIFIED_BATCH3_REMAINDER_FULLTEXT_V17_2026-08-31,Oecologia Australis article is explicitly a review of floral VOC roles in plant-insect interactions rather than an independent primary study.
SCHPRISMA-000269,AVAILABLE,EXCLUDE,FT_REVIEW_ONLY_NO_PRIMARY_ROLE,,,,,,,,,,,,,,,,,SOURCE_VERIFIED_BATCH3_REMAINDER_FULLTEXT_V17_2026-08-31,Plant Physiology piece is a feature/commentary on allelic variation in floral odor rather than the independent primary experiment.
SCHPRISMA-000270,AVAILABLE,EXCLUDE,FT_NO_ANTAGONIST_EVIDENCE,,,,,,,,,,,,,,,,,SOURCE_VERIFIED_BATCH3_REMAINDER_FULLTEXT_V17_2026-08-31,Castilleja study documents floral-visitor networks after historical herbivore removal but does not measure a current plant-antagonist response to a floral A.
SCHPRISMA-000271,AVAILABLE,INCLUDE,,EVOLUTIONARY_OUTCOME,floral attractiveness morphology and enemy-avoidance syndrome,NO_NATIVE_VS_INTRODUCED_COMMON_GARDEN,NO_DIRECT_POLLINATOR_RESPONSE_CURRENT_STUDY,YES_HADENA_OVIPOSITION_AND_FRUGIVORY,YES_FRUIT_DAMAGE_AND_REPRODUCTIVE_TRAITS,ENEMY_RELEASE_AND_EVOLUTIONARY_RELAXATION,floral_attractiveness_under_enemy_release,among_ranges,COMMON_GARDEN_NATIVE_INTRODUCED_COMPARISON,Enemy release is consistent with evolved floral change but increased pollinator attractiveness is an evolutionary inference not a measured same-A response,Europe_and_North_America,NATIVE_VS_INTRODUCED_RANGE_CONTRAST,HADENA_PRESENT_VS_RELEASED_ENEMY_REGIME,INVASION_HISTORY_AND_ENEMY_RELEASE_NO_ANCESTRAL_CUE_RECONSTRUCTION,SOURCE_VERIFIED_BATCH3_REMAINDER_FULLTEXT_V17_2026-08-31,Silene common-garden source shows North American plants released from Hadena suffer greater oviposition/frugivory when re-exposed and interprets relaxed constraint on pollinator-attractive traits.
SCHPRISMA-000272,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS,herkogamy corolla length and flower number,NO_HERBIVORY_AND_WATER_ANTECEDENTS,YES_OUTCROSSING_RATE_AS_POLLINATION_OUTCOME,NO_HERBIVORY_IS_ANTECEDENT_NOT_RESPONSE_TO_A,NO_COMMON_CAUSAL_REPRODUCTIVE_SURFACE,INDUCED_FLORAL_TRAITS_TO_MATING_SYSTEM,induced_floral_architecture,within_experiment,COMMON_GARDEN_HERBIVORY_AND_WATER_MANIPULATION,Herbivory changes flower number/herkogamy and these traits covary with outcrossing but the herbivore is not a receiver responding to A,USA,NO_REPLICATED_GEOGRAPHIC_CONTRAST,NO_DIRECT_SPATIAL_RECEIVER_REGIME_CONTRAST,NO_HISTORICAL_RECONSTRUCTION,SOURCE_VERIFIED_BATCH3_REMAINDER_FULLTEXT_V17_2026-08-31,Datura common-garden experiment manipulates herbivory/water and measures floral phenotype and genetic outcrossing rate.
SCHPRISMA-000274,AVAILABLE,EXCLUDE,FT_NO_DECLARED_FLORAL_COORDINATE,,,,,,,,,,,,,,,,,SOURCE_VERIFIED_BATCH3_REMAINDER_FULLTEXT_V17_2026-08-31,Palm-weevil study tests insect genetic divergence across host use and interaction roles; it does not evaluate evolution of a declared plant floral cue coordinate.
SCHPRISMA-000275,AVAILABLE,EXCLUDE,FT_DUPLICATE_DATASET_OR_REPORT,,,,,,,,,,,,,,,,,SOURCE_VERIFIED_BATCH3_REMAINDER_FULLTEXT_V17_2026-08-31,bioRxiv representation of the palm-weevil divergence study retained as published SCHPRISMA-000274 for report provenance only.
SCHPRISMA-000281,AVAILABLE,EXCLUDE,FT_NO_ANTAGONIST_EVIDENCE,,,,,,,,,,,,,,,,,SOURCE_VERIFIED_BATCH3_REMAINDER_FULLTEXT_V17_2026-08-31,Positive selection on the floral-scent IEMT gene is demonstrated but the selective agent is explicitly unknown; pollinator attraction/herbivore repellence are hypotheses rather than measured conflict channels.
SCHPRISMA-000285,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS;EVOLUTIONARY_OUTCOME;HISTORICAL_TRANSITION,benzylacetone floral scent,YES_BIOSYNTHETIC_GENE_FUNCTION_AND_ECTOPIC_EMISSION,YES_BA_POLLINATOR_ATTRACTION_FUNCTION,YES_BA_FLORIVORE_DETERRENCE_FUNCTION,NO_COMMON_REPRODUCTIVE_SURFACE,NOVEL_BIOSYNTHETIC_PATHWAY_GAIN,novel_floral_scent_coordinate,among_species_and_genotypes,GENETIC_FUNCTION_PLUS_COMPARATIVE_ORIGIN,A novel scent pathway with opposite audience functions is recovered but not a reconstructed shared-cue to private-cue transition,Nicotiana_attenuata,NO_REGISTERED_GEOGRAPHIC_RECEIVER_REGIME_CONTRAST,NO_DIRECT_SPATIAL_RECEIVER_REGIME_CONTRAST,NOVEL_BA_PATHWAY_ORIGIN_NOT_SHARED_TO_PRIVATE_CUE,SOURCE_VERIFIED_BATCH3_REMAINDER_FULLTEXT_V17_2026-08-31,Molecular Biology and Evolution source identifies the biosynthetic origin of benzylacetone which attracts pollinators and deters florivores.
SCHPRISMA-000286,AVAILABLE,EXCLUDE,FT_DUPLICATE_DATASET_OR_REPORT,,,,,,,,,,,,,,,,,SOURCE_VERIFIED_BATCH3_REMAINDER_FULLTEXT_V17_2026-08-31,bioRxiv representation of the published Nicotiana benzylacetone study retained as SCHPRISMA-000285.
SCHPRISMA-000287,AVAILABLE,INCLUDE,,EVOLUTIONARY_OUTCOME;HISTORICAL_TRANSITION,corolla width herkogamy display and mating-system syndrome,NO_GEOGRAPHIC_AND_COMMON_GARDEN_COMPARISON,YES_POLLEN_LIMITATION_AND_OUTCROSSING,YES_FLORAL_PARASITISM_ACROSS_TRANSITION,YES_FRUIT_SET,MATING_SYSTEM_TRANSITION_WITH_FLORAL_PARASITISM,floral_mating_system_syndrome,among_populations,GEOGRAPHIC_SURVEY_COMMON_GARDEN_AND_PARASITISM,Geographic outcrossing-to-selfing differentiation covaries with floral traits and florivory but does not reconstruct shared-to-private cues,western_North_America,MULTIPOPULATION_MATING_SYSTEM_AND_FLORIVORY_CONTRAST,POLLINATION_AND_FLORAL_PARASITISM_REGIMES_VARY_ACROSS_RANGE,OUTCROSSING_TO_SELFING_TRANSITION_NOT_SHARED_TO_PRIVATE_CUE,SOURCE_VERIFIED_BATCH3_REMAINDER_FULLTEXT_V17_2026-08-31,Camissoniopsis thesis and associated primary chapters quantify floral/mating-system differentiation and floral parasitism across the geographic transition.
SCHPRISMA-000292,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS;EVOLUTIONARY_OUTCOME,flower number and flower size,YES_ARTIFICIAL_SELECTION_LINES,NO_SEPARATE_POLLINATOR_RESPONSE_MEASURED_SAME_EXPERIMENT,YES_HADENA_ATTACK_OVIPOSITION_AND_SEED_PREDATION,YES_SEED_PRODUCTION_AND_FRUIT_ABORTION,OPPOSING_SELECTION_ON_FLORAL_DISPLAY,nursery_pollination_display_axis,within_common_garden,ARTIFICIAL_SELECTION_LINES_PLUS_NATURAL_HADENA_EXPOSURE,Strong experimental/evolutionary conflict evidence but no separately measured pollinator response to A so not strict,Switzerland,NO_REPLICATED_GEOGRAPHIC_CONTRAST,NO_SPATIAL_RECEIVER_ASSEMBLAGE_CONTRAST,NO_ANCESTRAL_CUE_RECONSTRUCTION,SOURCE_VERIFIED_BATCH3_REMAINDER_FULLTEXT_V17_2026-08-31,Silene thesis uses large- versus small-flower selection lines exposed to the pollinating seed predator Hadena and partitions selection via moth attack versus other fitness components.
SCHPRISMA-000293,AVAILABLE,EXCLUDE,FT_REVIEW_ONLY_NO_PRIMARY_ROLE,,,,,,,,,,,,,,,,,SOURCE_VERIFIED_BATCH3_REMAINDER_FULLTEXT_V17_2026-08-31,Annals of Botany article is a review/meta-analytic synthesis of nectar evolutionary ecology rather than an independent primary study.
SCHPRISMA-000294,AVAILABLE,EXCLUDE,FT_REVIEW_ONLY_NO_PRIMARY_ROLE,,,,,,,,,,,,,,,,,SOURCE_VERIFIED_BATCH3_REMAINDER_FULLTEXT_V17_2026-08-31,Annual Review article synthesizes reproductive-defense evolution and is retained as source-registry material only.
SCHPRISMA-000296,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS,corolla integrity and damage geometry,YES_ARTIFICIAL_COROLLA_DAMAGE,YES_BUMBLEBEE_PREFERENCE_NULL_RESPONSE,NO_FLORIVORE_RESPONSE_TO_DO_A_FLORIVORE_ONLY_GENERATES_DAMAGE,YES_SEED_PRODUCTION_AND_REPRODUCTIVE_FAILURE,FLORIVORY_DAMAGE_TO_POLLINATOR_AND_FITNESS,damaged_corolla_visual_axis,within_experiment,MANIPULATED_A_POLLINATOR_AND_FITNESS_WITH_ANTAGONIST_ORIGIN,Manipulated damage links pollinator behavior and fitness but the florivore is not tested as a receiver of the manipulated A so not strict,Slovakia_and_Serbia,NO_REPLICATED_GEOGRAPHIC_RECEIVER_REGIME_CONTRAST,NO_DIRECT_SPATIAL_RECEIVER_REGIME_CONTRAST,NO_HISTORICAL_RECONSTRUCTION,SOURCE_VERIFIED_BATCH3_REMAINDER_FULLTEXT_V17_2026-08-31,Field experiment removes half the corolla and measures seed output; lab choice assay measures bumblebee response while natural surveys identify the florivore causing analogous damage.
SCHPRISMA-000298,AVAILABLE,EXCLUDE,FT_NO_DECLARED_FLORAL_COORDINATE,,,,,,,,,,,,,,,,,SOURCE_VERIFIED_BATCH3_REMAINDER_FULLTEXT_V17_2026-08-31,Senna experiment manipulates extrafloral ant access; floral display changes downstream with plant size but the declared causal coordinate is not a floral attraction signal.
SCHPRISMA-000299,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS;EVOLUTIONARY_OUTCOME,floral volatile blend,NO_PHYLOGENETIC_AND_GEOGRAPHIC_COMPARISON,YES_GREYA_AND_COPOLLINATOR_ASSOCIATION,YES_DUAL_ROLE_GREYA_POLLINATING_FLORAL_PARASITE_CONTEXT,NO_COMMON_MANIPULATED_FITNESS_SURFACE,GEOGRAPHIC_MOSAIC_OF_FLORAL_SCENT_DIVERSIFICATION,floral_scent_under_pollinating_parasite_regimes,among_species_and_populations,PHYLOGENETIC_94_POPULATION_SCENT_ANALYSIS,Greya presence/absence predicts scent divergence but no same-code receiver experiment or ancestral shared-to-private transition is reconstructed,western_North_America,94_POPULATION_PHYLOGEOGRAPHIC_CONTRAST,GREYA_PRESENT_ABSENT_AND_COPOLLINATOR_REGIME_CONTRAST,PHYLOGENETIC_AND_GEOGRAPHIC_DIVERGENCE_NO_SHARED_TO_PRIVATE_RECONSTRUCTION,SOURCE_VERIFIED_BATCH3_REMAINDER_FULLTEXT_V17_2026-08-31,PNAS source samples 94 populations across the genus and associates floral-scent diversification with geographically varying pollinating Greya moth regimes.
SCHPRISMA-000300,AVAILABLE,EXCLUDE,FT_NO_ANTAGONIST_EVIDENCE,,,,,,,,,,,,,,,,,SOURCE_VERIFIED_BATCH3_REMAINDER_FULLTEXT_V17_2026-08-31,Borderea reproductive study documents ants as pollinators and dispersers; large herbivores are absent and no focal antagonist response to a floral cue is measured.
