record_id,fulltext_status,screen_fulltext,screen_fulltext_reason,evidence_lanes,A_trait,A_manipulated,pollinator_response_measured,antagonist_response_measured,common_reproductive_outcome,selection_form,cue_architecture,evolutionary_level,causal_strength,claim_ceiling,study_region,country_or_ocean_basin,latitude_reported,longitude_reported,spatial_grain,spatial_extent,single_site_vs_multisite,geographic_contrast,receiver_assemblage_contrast,biogeographic_context,historical_or_phylogenetic_context,decision_source,decision_note
SCHPRISMA-000220,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS,nectar and pollen reward availability,YES_REWARD_REMOVAL,YES_BUMBLEBEE_VISITATION_AND_DURATION,NO_ROBBER_OR_THIEF_RESPONSE_TO_DO_REWARD_IN_SAME_DESIGN,NO_COMMON_ANTAGONIST_LINKED_REPRODUCTIVE_SURFACE,REWARD_REMOVAL_TO_POLLINATOR_BEHAVIOR,shared_reward_access_axis,within_experiment,MANIPULATED_REWARD_REMOVAL,"Nectar/pollen removal directly alters pollinator behavior in a system containing robbers/thieves, but those exploiters are not tested as responses to the same reward manipulation.",China,China,NOT_REPORTED,NOT_REPORTED,field_experiment,single_population,SINGLE_SITE,NO_REPLICATED_GEOGRAPHIC_CONTRAST,NO_DIRECT_SPATIAL_RECEIVER_REGIME_CONTRAST,NOT_REPORTED,NOT_REPORTED,SOURCE_VERIFIED_BATCH3_FULLTEXT_V15_2026-08-31,"Impatiens oxyanthera reward-removal experiment is retained as a same-reward near-pass, not a linked dual-audience experiment."
SCHPRISMA-000232,AVAILABLE,EXCLUDE,FT_NO_POLLINATOR_EVIDENCE,,,,,,,,,,,,,,,,,,,,,,,SOURCE_VERIFIED_BATCH3_FULLTEXT_V15_2026-08-31,"Boechera stricta color-polymorphism study is predominantly self-pollinating and does not measure a focal pollinator response; pollinator-mediated selection is explicitly not the identified mechanism."
SCHPRISMA-000234,AVAILABLE,EXCLUDE,FT_NO_DECLARED_FLORAL_COORDINATE,,,,,,,,,,,,,,,,,,,,,,,SOURCE_VERIFIED_BATCH3_FULLTEXT_V15_2026-08-31,"Artificial selection on herbivore resistance/myrosinase affects floral traits and pollinator behavior, but the manipulated coordinate is plant defense rather than a declared floral attraction/display trait A."
SCHPRISMA-000252,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS,simulated florivory damage to flowers,YES_SIMULATED_FLORIVORY,YES_POLLINATOR_BEHAVIOR_AND_POLLEN_TRANSFER,NO_FLORIVORE_RESPONSE_TO_DO_A,YES_MALE_AND_FEMALE_REPRODUCTIVE_COMPONENTS,FLORAL_DAMAGE_TO_POLLINATION_AND_REPRODUCTION,damaged_flower_axis,within_experiment,MANIPULATED_FLORAL_DAMAGE_PLUS_POLLINATION_SUPPLEMENTATION,"Simulated florivory changes pollinator behavior, pollen transfer and reproduction, but the antagonist is represented by the damage treatment rather than a response to the resulting A.",NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,field_experiment,single_system,SINGLE_SITE,NO_REPLICATED_GEOGRAPHIC_CONTRAST,NO_DIRECT_SPATIAL_RECEIVER_REGIME_CONTRAST,NOT_REPORTED,NOT_REPORTED,SOURCE_VERIFIED_BATCH3_FULLTEXT_V15_2026-08-31,"Carper et al. experimentally combine florivory simulation and pollination readouts; retained as a strong damage-state near-pass."
SCHPRISMA-000254,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS,herbivory-associated flower size and mating-system traits,NO_SPITTLEBUG_TREATMENT_IS_UPSTREAM,YES_POLLINATOR_BEHAVIOR_MEASURED,NO_HERBIVORE_RESPONSE_TO_DO_FLORAL_A,YES_MATING_AND_REPRODUCTIVE_COMPONENTS,HERBIVORY_TO_FLORAL_TRAITS_AND_MATING,induced_floral_trait_axis,within_experiment,MANIPULATED_HERBIVORY_WITH_FLORAL_AND_POLLINATOR_READOUT,"Spittlebug herbivory alters flower traits and mating outcomes while pollinator behavior is measured, but the herbivore is an upstream treatment and not a receiver response to A.",USA,USA,NOT_REPORTED,NOT_REPORTED,field_experiment,local_population,SINGLE_SITE,NO_REPLICATED_GEOGRAPHIC_CONTRAST,NO_DIRECT_SPATIAL_RECEIVER_REGIME_CONTRAST,NOT_REPORTED,NOT_REPORTED,SOURCE_VERIFIED_BATCH3_FULLTEXT_V15_2026-08-31,"Mimulus experiment links herbivory/inbreeding, flower size, pollinator behavior and mating; retained as induced-state near-pass."
SCHPRISMA-000256,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS,leaf-herbivory-induced floral and reproductive state,NO_LEAF_BEETLE_DAMAGE_IS_UPSTREAM,YES_POLLINATOR_RESPONSE_AND_POLLINATION_SUCCESS,NO_HERBIVORE_RESPONSE_TO_FLORAL_A,YES_FRUIT_DEVELOPMENT,HERBIVORY_TO_POLLINATION_AND_FRUIT,induced_reproductive_state,within_study,THESIS_FIELD_STUDY,"Leaf beetle damage affects pollination and fruit development but does not test the herbivore as a receiver responding to the floral A.",NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,field_study,local_population,SINGLE_SITE,NO_REPLICATED_GEOGRAPHIC_CONTRAST,NO_DIRECT_SPATIAL_RECEIVER_REGIME_CONTRAST,NOT_REPORTED,NOT_REPORTED,SOURCE_VERIFIED_BATCH3_FULLTEXT_V15_2026-08-31,"Fragaria thesis links leaf-beetle herbivory to pollinator response, pollination success and fruit development; retained as an induced-state near-pass."
SCHPRISMA-000258,AVAILABLE,EXCLUDE,FT_DUPLICATE_DATASET_OR_REPORT,,,,,,,,,,,,,,,,,,,,,,,SOURCE_VERIFIED_BATCH3_FULLTEXT_V15_2026-08-31,"Duplicate/index representation of the Incarvillea nectar-robbing study retained under published DOI as SCHPRISMA-000259."
SCHPRISMA-000259,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS,flower height and nectar-robbing access,PARTIAL_ROBBER_EXCLUSION_WITH_OBSERVATIONAL_FLOWER_HEIGHT,YES_POLLINATOR_BEHAVIOR_AND_POLLINATION_SUCCESS,YES_NECTAR_ROBBING_BEHAVIOR_BUT_NOT_RESPONSE_TO_RANDOMIZED_HEIGHT,YES_FRUIT_AND_SEED_OUTCOMES,ROBBING_CONTEXT_AND_FLOWER_HEIGHT_ASSOCIATION,floral_height_and_access_axis,within_population,FIELD_MANIPULATION_PLUS_OBSERVATIONAL_TRAIT,"Nectar robbery is experimentally manipulated and reproduction measured, while flower height predicts robbery observationally; the same floral A is not randomized for both receiver classes.",China,China,NOT_REPORTED,NOT_REPORTED,population,field_population,SINGLE_SITE,NO_REPLICATED_GEOGRAPHIC_CONTRAST,NO_DIRECT_SPATIAL_RECEIVER_REGIME_CONTRAST,NOT_REPORTED,NOT_REPORTED,SOURCE_VERIFIED_BATCH3_FULLTEXT_V15_2026-08-31,"Published Incarvillea study links nectar robbery, pollinator behavior, pollination success and flower height; retained as a near-pass."
SCHPRISMA-000261,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS;EVOLUTIONARY_OUTCOME,flowering stem height and floral display,NO_OBSERVATIONAL_SELECTION,YES_POLLINATION_SUCCESS_AND_POLLEN_LIMITATION,YES_SEED_PREDATION,YES_FEMALE_REPRODUCTIVE_SUCCESS,OPPOSING_EFFECTS_OF_HEIGHT_ON_POLLINATION_AND_SEED_PREDATION,same_display_axis_exposed_to_pollination_and_seed_predation,within_population,OBSERVATIONAL_SELECTION_AND_REPRODUCTIVE_DECOMPOSITION,"Taller flowering stems increase pollination while reducing seed-predation exposure, identifying a trade-off/selection structure without randomized do(A) or historical cue evolution.",NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,population,field_population,SINGLE_SITE,NO_REPLICATED_GEOGRAPHIC_CONTRAST,NO_DIRECT_SPATIAL_RECEIVER_REGIME_CONTRAST,NOT_REPORTED,NO_ANCESTRAL_CUE_RECONSTRUCTION,SOURCE_VERIFIED_BATCH3_FULLTEXT_V15_2026-08-31,"Deceptive orchid study decomposes female reproductive success into pollination limitation and seed predation along flowering stem height; retained as near-pass/evolutionary evidence."
SCHPRISMA-000277,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS,floral display size,NO_OBSERVATIONAL_FIELD_DISPLAY,YES_FLORAL_VISITOR_RATE_AND_POLLINATION,YES_SEED_PREDATOR_DAMAGE,YES_SEED_SET,SPATIAL_REPRODUCTIVE_SUCCESS_DECOMPOSITION,same_display_axis_in_spatial_pollination_seed_predation_context,along_transect,OBSERVATIONAL_SPATIAL_FIELD_ANALYSIS,"Floral display, pollination, seed predation and seed set are jointly modeled across a spatial transect, but A is observational and no direct receiver-turnover response to do(A) is identified.",Haleakala_Hawaii,USA,NOT_REPORTED,NOT_REPORTED,transect,elevation_and_invasion_gradient,MULTISITE,ELEVATION_AND_INVASIVE_ANT_SPATIAL_GRADIENT,NO_DIRECT_SPATIAL_RECEIVER_ASSEMBLAGE_TURNOVER_ATTRIBUTABLE_TO_A,ISLAND_SPATIAL_REPRODUCTIVE_CONTEXT,NO_ANCESTRAL_CUE_RECONSTRUCTION,SOURCE_VERIFIED_BATCH3_FULLTEXT_V15_2026-08-31,"Haleakala silversword study integrates floral display, visitor rate, seed-predator damage and seed set over an elevation/invasion gradient; adds geography only, not a joint receiver-turnover system."
SCHPRISMA-000278,AVAILABLE,EXCLUDE,FT_NO_POLLINATOR_EVIDENCE,,,,,,,,,,,,,,,,,,,,,,,SOURCE_VERIFIED_BATCH3_FULLTEXT_V15_2026-08-31,"Bouvardia field study quantifies antagonists across floral morphs and reproductive outcomes, but does not supply a focal pollinator-response measurement needed for SCH inclusion."
SCHPRISMA-000282,AVAILABLE,INCLUDE,,EVOLUTIONARY_OUTCOME;HISTORICAL_TRANSITION,novel floral volatile and floral traits associated with plant-bug pollination,NO_COMPARATIVE_AND_BEHAVIORAL_ASSAYS,YES_SPECIALIZED_POLLINATOR_ATTRACTION_TO_FLORAL_VOLATILE,YES_ANCESTRAL_OR_RELATED_FLORIVOROUS_ROLE_AND_FLORAL_FEEDING,NO_COMMON_MANIPULATED_A_FITNESS_SURFACE,ROLE_TRANSITION_FROM_FLORIVORY_TO_POLLINATION,role_transition_with_novel_floral_scent,lineages,COMPARATIVE_PHYLOGENETIC_AND_BEHAVIORAL_EVIDENCE,"Strong evidence for recruitment of florivorous plant bugs as specialized pollinators with a novel attractive floral volatile; this is a receiver-role transition and trait divergence, not a reconstructed shared-cue to private-cue transition.",Neotropics,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,lineages,comparative_relatives,MULTILINEAGE,NO_REGISTERED_GEOGRAPHIC_RECEIVER_REGIME_CONTRAST,NO_REGISTERED_SPATIAL_RECEIVER_REGIME_CONTRAST,NEOTROPICAL_LINEAGE_CONTEXT,ROLE_TRANSITION_AND_TRAIT_DIVERGENCE_NOT_SHARED_TO_PRIVATE_CUE,SOURCE_VERIFIED_BATCH3_FULLTEXT_V15_2026-08-31,"Syngonium study demonstrates recruitment of florivorous plant bugs as pollinators and identifies a novel attractive floral scent. Retained in evolutionary and historical-transition lanes with an explicit non-L4 ceiling."
SCHPRISMA-000283,AVAILABLE,EXCLUDE,FT_NO_POLLINATOR_EVIDENCE,,,,,,,,,,,,,,,,,,,,,,,SOURCE_VERIFIED_BATCH3_FULLTEXT_V15_2026-08-31,"Aeschynanthus study reports short-term floral trait shifts following nectar robbing, but does not measure a focal pollinator-response channel."
SCHPRISMA-000284,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS;EVOLUTIONARY_OUTCOME,floral traits and inflorescence architecture after meristem herbivory,NO_SIMULATED_HERBIVORY_IS_UPSTREAM_TREATMENT,YES_POLLINATOR_MEDIATED_SELECTION,NO_HERBIVORE_RESPONSE_TO_DO_FLORAL_A,YES_REPRODUCTIVE_FITNESS_SELECTION,HERBIVORY_MODIFIES_SELECTION_ON_FLORAL_TRAITS,induced_floral_architecture_axis,within_experiment,MANIPULATED_HERBIVORY_PLUS_SELECTION_ANALYSIS,"Herbivore tolerance changes floral architecture and pollinator-mediated selection, providing evolutionary redirection evidence but not a same-A antagonist response.",NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,field_experiment,population,SINGLE_SITE,NO_REPLICATED_GEOGRAPHIC_CONTRAST,NO_DIRECT_SPATIAL_RECEIVER_REGIME_CONTRAST,NOT_REPORTED,EXPERIMENTAL_SELECTION_REDIRECTION_NO_ANCESTRAL_RECONSTRUCTION,SOURCE_VERIFIED_BATCH3_FULLTEXT_V15_2026-08-31,"Lythrum study shows simulated meristem herbivory alters selection on floral traits/inflorescence architecture; retained as near-pass/evolutionary redirection evidence."
SCHPRISMA-000289,AVAILABLE,INCLUDE,,EVOLUTIONARY_OUTCOME,floral fragrance under experimental herbivore-load evolution,YES_HERBIVORE_REDUCTION_ACROSS_FOUR_GENERATIONS,NO_SAME_GENERATION_POLLINATOR_RESPONSE_COESTIMATED,YES_HERBIVORE_SELECTION_REGIME,NO_COMMON_DUAL_RECEIVER_FITNESS_SURFACE,EXPERIMENTAL_EVOLUTION_OF_FLORAL_FRAGRANCE,floral_scent_under_antagonist_selection_regime,multigeneration,FOUR_GENERATION_EXPERIMENTAL_EVOLUTION,"Reduced herbivore load changes evolved floral fragrance across generations, supporting antagonist-mediated evolutionary redirection; the study does not itself close a same-A pollinator/antagonist causal surface.",NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,experimental_evolution,four_generations,EXPERIMENTAL_NOT_GEOGRAPHIC,EXPERIMENTAL_SETTING_CONTRAST_NOT_GEOGRAPHIC,NO_DIRECT_SPATIAL_RECEIVER_REGIME_CONTRAST,NOT_REPORTED,EXPERIMENTAL_EVOLUTION_NO_ANCESTRAL_CUE_RECONSTRUCTION,SOURCE_VERIFIED_BATCH3_FULLTEXT_V15_2026-08-31,"Ramos & Schiestl four-generation experiment shows floral fragrance evolves differently when herbivore load is reduced; retained as direct experimental evolutionary evidence."
SCHPRISMA-000295,AVAILABLE,INCLUDE,,DIRECTIONAL_OR_NEAR_PASS,simulated florivory damage to flowers,YES_EXPERIMENTAL_FLORIVORY,YES_POLLINATOR_VISITATION,NO_FLORIVORE_RESPONSE_TO_RESULTING_A,YES_FRUIT_SET_AND_SEED_SET,FLORAL_DAMAGE_TO_POLLINATOR_AND_REPRODUCTION,damaged_flower_axis,within_experiment,MANIPULATED_FLORAL_DAMAGE,"Experimental florivory changes pollinator visitation and reproductive success, but florivory is the antecedent treatment rather than an antagonist response to the manipulated floral state.",Mexico,Mexico,NOT_REPORTED,NOT_REPORTED,field_experiment,population,SINGLE_SITE,NO_REPLICATED_GEOGRAPHIC_CONTRAST,NO_DIRECT_SPATIAL_RECEIVER_REGIME_CONTRAST,NOT_REPORTED,NOT_REPORTED,SOURCE_VERIFIED_BATCH3_FULLTEXT_V15_2026-08-31,"Opuntia experimental florivory study measures pollinator visitation plus fruit and seed outcomes; retained as a strong induced-state near-pass."
